Institute,Ph.D (Student pursuing doctoral program till 2019-20),a,b,c
Institute of Chemical Technology,,,Total Students,
Institute of Chemical Technology,Full Time,,511,
Institute of Chemical Technology,Part Time,,106,
Institute of Chemical Technology,No. of Ph.D students graduated (including Integrated Ph.D),,,
Institute of Chemical Technology,,2019-20,2018-19,2017-18
Institute of Chemical Technology,Full Time,140,135,137
Institute of Chemical Technology,Part Time,5,7,3
Jamia Millia Islamia,,,Total Students,
Jamia Millia Islamia,Full Time,,1483,
Jamia Millia Islamia,Part Time,,0,
Jamia Millia Islamia,No. of Ph.D students graduated (including Integrated Ph.D),,,
Jamia Millia Islamia,,2019-20,2018-19,2017-18
Jamia Millia Islamia,Full Time,345,360,309
Jamia Millia Islamia,Part Time,0,0,0
Kalasalingam Academy of Research and Higher Education,,,Total Students,
Kalasalingam Academy of Research and Higher Education,Full Time,,303,
Kalasalingam Academy of Research and Higher Education,Part Time,,137,
Kalasalingam Academy of Research and Higher Education,No. of Ph.D students graduated (including Integrated Ph.D),,,
Kalasalingam Academy of Research and Higher Education,,2019-20,2018-19,2017-18
Kalasalingam Academy of Research and Higher Education,Full Time,83,7,4
Indian Institute of Technology Guwahati,,,Total Students,
Indian Institute of Technology Guwahati,Full Time,,1953,
Indian Institute of Technology Guwahati,Part Time,,166,
Indian Institute of Technology Guwahati,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Technology Guwahati,,2019-20,2018-19,2017-18
Indian Institute of Technology Guwahati,Full Time,239,214,209
Indian Institute of Technology Guwahati,Part Time,49,27,20
Gujarat University,,,Total Students,
Gujarat University,Full Time,,1375,
Gujarat University,Part Time,,98,
Gujarat University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Gujarat University,,2019-20,2018-19,2017-18
Gujarat University,Full Time,216,206,241
Gujarat University,Part Time,4,2,4
Indian Institute of Science Education & Research Kolkata,,,Total Students,
Indian Institute of Science Education & Research Kolkata,Full Time,,522,
Indian Institute of Science Education & Research Kolkata,Part Time,,0,
Indian Institute of Science Education & Research Kolkata,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Science Education & Research Kolkata,,2019-20,2018-19,2017-18
Indian Institute of Science Education & Research Kolkata,Full Time,45,38,34
Indian Institute of Science Education & Research Kolkata,Part Time,0,0,0
Anna University,,,Total Students,
Anna University,Full Time,,936,
Anna University,Part Time,,792,
Anna University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Anna University,,2019-20,2018-19,2017-18
Anna University,Full Time,82,108,117
Anna University,Part Time,100,71,106
Indian Institute of Technology Roorkee,,,Total Students,
Indian Institute of Technology Roorkee,Full Time,,2029,
Indian Institute of Technology Roorkee,Part Time,,273,
Indian Institute of Technology Roorkee,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Technology Roorkee,,2019-20,2018-19,2017-18
Indian Institute of Technology Roorkee,Full Time,257,235,281
Indian Institute of Technology Roorkee,Part Time,16,75,11
Jamia Hamdard,,,Total Students,
Jamia Hamdard,Full Time,,591,
Jamia Hamdard,Part Time,,0,
Jamia Hamdard,No. of Ph.D students graduated (including Integrated Ph.D),,,
Jamia Hamdard,,2019-20,2018-19,2017-18
Jamia Hamdard,Full Time,59,61,84
Jamia Hamdard,Part Time,0,0,0
University of Delhi,,,Total Students,
University of Delhi,Full Time,,3700,
University of Delhi,Part Time,,0,
University of Delhi,No. of Ph.D students graduated (including Integrated Ph.D),,,
University of Delhi,,2019-20,2018-19,2017-18
University of Delhi,Full Time,539,592,607
University of Delhi,Part Time,0,0,0
Sardar Vallabhbhai National Institute of Technology,,,Total Students,
Sardar Vallabhbhai National Institute of Technology,Full Time,,415,
Sardar Vallabhbhai National Institute of Technology,Part Time,,316,
Sardar Vallabhbhai National Institute of Technology,No. of Ph.D students graduated (including Integrated Ph.D),,,
Sardar Vallabhbhai National Institute of Technology,,2019-20,2018-19,2017-18
Sardar Vallabhbhai National Institute of Technology,Full Time,42,32,25
Sardar Vallabhbhai National Institute of Technology,Part Time,43,51,56
Indian Institute of Technology Patna,,,Total Students,
Indian Institute of Technology Patna,Full Time,,432,
Indian Institute of Technology Patna,Part Time,,52,
Indian Institute of Technology Patna,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Technology Patna,,2019-20,2018-19,2017-18
Indian Institute of Technology Patna,Full Time,49,38,13
Indian Institute of Technology Patna,Part Time,5,2,2
Amity University,,,Total Students,
Amity University,Full Time,,541,
Amity University,Part Time,,1536,
Amity University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Amity University,,2019-20,2018-19,2017-18
Amity University,Full Time,69,39,39
Amity University,Part Time,150,130,78
Siksha `O` Anusandhan,,,Total Students,
Siksha `O` Anusandhan,Full Time,,826,
Siksha `O` Anusandhan,Part Time,,179,
Siksha `O` Anusandhan,No. of Ph.D students graduated (including Integrated Ph.D),,,
Siksha `O` Anusandhan,,2019-20,2018-19,2017-18
Siksha `O` Anusandhan,Full Time,89,79,82
Guru Gobind Singh Indraprastha University,,,Total Students,
Guru Gobind Singh Indraprastha University,Full Time,,377,
Guru Gobind Singh Indraprastha University,Part Time,,386,
Guru Gobind Singh Indraprastha University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Guru Gobind Singh Indraprastha University,,2019-20,2018-19,2017-18
Guru Gobind Singh Indraprastha University,Full Time,40,26,8
Guru Gobind Singh Indraprastha University,Part Time,19,14,22
Indian Institute of Technology Madras,,,Total Students,
Indian Institute of Technology Madras,Full Time,,2902,
Indian Institute of Technology Madras,Part Time,,68,
Indian Institute of Technology Madras,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Technology Madras,,2019-20,2018-19,2017-18
Indian Institute of Technology Madras,Full Time,347,369,273
Indian Institute of Technology Madras,Part Time,6,6,11
Gauhati University,,,Total Students,
Gauhati University,Full Time,,1889,
Gauhati University,Part Time,,1079,
Gauhati University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Gauhati University,,2019-20,2018-19,2017-18
Gauhati University,Full Time,344,349,105
Bharathiar University,,,Total Students,
Bharathiar University,Full Time,,524,
Bharathiar University,Part Time,,219,
Bharathiar University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Bharathiar University,,2019-20,2018-19,2017-18
Bharathiar University,Full Time,127,116,101
Bharathiar University,Part Time,27,146,30
Calcutta University,,,Total Students,
Calcutta University,Full Time,,2588,
Calcutta University,Part Time,,1192,
Calcutta University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Calcutta University,,2019-20,2018-19,2017-18
Calcutta University,Full Time,611,323,529
Calcutta University,Part Time,489,276,234
Indian Institute of Science Education & Research Bhopal,,,Total Students,
Indian Institute of Science Education & Research Bhopal,Full Time,,530,
Indian Institute of Science Education & Research Bhopal,Part Time,,0,
Indian Institute of Science Education & Research Bhopal,No. of Ph.D students graduated (including Integrated Ph.D),,,
Indian Institute of Science Education & Research Bhopal,,2019-20,2018-19,2017-18
Indian Institute of Science Education & Research Bhopal,Full Time,33,31,40
Indian Institute of Science Education & Research Bhopal,Part Time,0,0,0
Malaviya National Institute of Technology,,,Total Students,
Malaviya National Institute of Technology,Full Time,,475,
Malaviya National Institute of Technology,Part Time,,296,
Malaviya National Institute of Technology,No. of Ph.D students graduated (including Integrated Ph.D),,,
Malaviya National Institute of Technology,,2019-20,2018-19,2017-18
Malaviya National Institute of Technology,Full Time,53,59,51
Malaviya National Institute of Technology,Part Time,30,22,24
University of Madras,,,Total Students,
University of Madras,Full Time,,663,
University of Madras,Part Time,,164,
University of Madras,No. of Ph.D students graduated (including Integrated Ph.D),,,
University of Madras,,2019-20,2018-19,2017-18
University of Madras,Full Time,77,130,145
University of Madras,Part Time,28,58,30
Symbiosis International,,,Total Students,
Symbiosis International,Full Time,,314,
Symbiosis International,Part Time,,576,
Symbiosis International,No. of Ph.D students graduated (including Integrated Ph.D),,,
Symbiosis International,,2019-20,2018-19,2017-18
Symbiosis International,Full Time,38,41,1
Symbiosis International,Part Time,10,6,17
Kerala University,,,Total Students,
Kerala University,Full Time,,1197,
Kerala University,Part Time,,449,
Kerala University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Kerala University,,2019-20,2018-19,2017-18
Kerala University,Full Time,471,393,350
Kerala University,Part Time,131,116,110
Alagappa University,,,Total Students,
Alagappa University,Full Time,,690,
Alagappa University,Part Time,,836,
Alagappa University,No. of Ph.D students graduated (including Integrated Ph.D),,,
Alagappa University,,2019-20,2018-19,2017-18
Alagappa University,Full Time,76,65,47
Alagappa University,Part Time,67,82,66
JSS Academy of Higher Education and Research,,,Total Students,
JSS Academy of Higher Education and Research,Full Time,,219,
JSS Academy of Higher Education and Research,Part Time,,112,
JSS Academy of Higher Education and Research,No. of Ph.D students graduated (including Integrated Ph.D),,,
JSS Academy of Higher Education and Research,,2019-20,2018-19,2017-18
JSS Academy of Higher Education and Research,Full Time,51,45,31
