Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students graduating in minimum
stipulated time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2014-15,1440,1148,2015-16,815,138,"409944(Four lakhs
nine thousand nine
hundred and forty fo)",101,"PG [2 Year
Program(s)]", University of Madras 
2015-16,1440,1029,2016-17,787,232,"315132(Three lakhs
fifteen thousand one
hundred and thirt)",140,"PG [2 Year
Program(s)]", University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three lakh one
thousand nine hundred
and fifteen o)",139,"PG [2 Year
Program(s)]", University of Madras 
2014-15,1440,1148,2015-16,815,138,"409944(Four lakhs
nine thousand nine
hundred and forty fo)",101,"PG [3 Year
Program(s)]", University of Madras 
2015-16,1440,1029,2016-17,787,232,"315132(Three lakhs
fifteen thousand one
hundred and thirt)",140,"PG [3 Year
Program(s)]", University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three lakh one
thousand nine hundred
and fifteen o)",139,"PG [3 Year
Program(s)]", University of Madras 
2014-15,1440,1148,2015-16,815,138,"409944(Four lakhs
nine thousand nine
hundred and forty fo)",101,PG-Integrated, University of Madras 
2015-16,1440,1029,2016-17,787,232,"315132(Three lakhs
fifteen thousand one
hundred and thirt)",140,PG-Integrated, University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three lakh one
thousand nine hundred
and fifteen o)",139,PG-Integrated, University of Madras 
2015-16,94,93,2015-16,93,91,"2300000(Twenty Three
Lakhs only)",0,"PG [1 Year
Program(s)]", Indian Institute of Management Calcutta 
2016-17,108,108,2016-17,108,102,"1998000(Nineteen
Lakhs Ninety Eight
Thousand only)",0,"PG [1 Year
Program(s)]", Indian Institute of Management Calcutta 
2017-18,110,108,2017-18,108,100,"2017000(Twenty
Lakhs Seventeen
Thousand only)",0,"PG [1 Year
Program(s)]", Indian Institute of Management Calcutta 
2015-16,94,93,2015-16,93,91,"2300000(Twenty Three
Lakhs only)",0,"PG [2 Year
Program(s)]", Indian Institute of Management Calcutta 
2016-17,108,108,2016-17,108,102,"1998000(Nineteen
Lakhs Ninety Eight
Thousand only)",0,"PG [2 Year
Program(s)]", Indian Institute of Management Calcutta 
2017-18,110,108,2017-18,108,100,"2017000(Twenty
Lakhs Seventeen
Thousand only)",0,"PG [2 Year
Program(s)]", Indian Institute of Management Calcutta 
2014-15,940,877,2015-16,813,197,"520000(Five lakhs
twenty thousand only)",81,"PG [2 Year
Program(s)]", University of Hyderabad 
2015-16,933,884,2016-17,800,184,"500000(Five lakhs
only)",135,"PG [2 Year
Program(s)]", University of Hyderabad 
