Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2014-15,819,829,2015-16,101,2017-18,800,633,400000(four lakhs),120,"UG [4 Years
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2015-16,819,826,2016-17,101,2018-19,787,642,"440000(four lakhs forty
thousand)",123,"UG [4 Years
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2016-17,780,830,2017-18,101,2019-20,703,579,500000(Five lakhs),107,"UG [4 Years
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2014-15,819,829,2015-16,101,2017-18,800,633,400000(four lakhs),120,"PG [2 Year
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2015-16,819,826,2016-17,101,2018-19,787,642,"440000(four lakhs forty
thousand)",123,"PG [2 Year
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2016-17,780,830,2017-18,101,2019-20,703,579,500000(Five lakhs),107,"PG [2 Year
Program(s)]",Sri Sivasubramaniya Nadar College of Engineering 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,"UG [3 Years
Program(s)]",PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,"UG [3 Years
Program(s)]",PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,"UG [3 Years
Program(s)]",PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,"UG [4 Years
Program(s)]",PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,"UG [4 Years
Program(s)]",PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,"UG [4 Years
Program(s)]",PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,"UG [5 Years
Program(s)]",PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,"UG [5 Years
Program(s)]",PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,"UG [5 Years
Program(s)]",PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,"PG [2 Year
Program(s)]",PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,"PG [2 Year
Program(s)]",PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,"PG [2 Year
Program(s)]",PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,"PG [3 Year
Program(s)]",PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,"PG [3 Year
Program(s)]",PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,"PG [3 Year
Program(s)]",PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two lakhs
fifteen thousand)",20,PG-Integrated,PSG College of Technology 
2016-17,120,110,2017-18,0,2018-19,93,54,"212254(Two lakhs
twelve thousand two
hundred and fifty four)",15,PG-Integrated,PSG College of Technology 
2017-18,120,118,2018-19,0,2019-20,78,54,"252000(Two lakhs fifty
two thousand)",5,PG-Integrated,PSG College of Technology 
2014-15,749,759,2015-16,0,2017-18,654,431,"1306000(Thirteen Lakh
Six Thousand Only)",70,"UG [4 Years
Program(s)]",Indian Institute of Technology Delhi 
2015-16,749,746,2016-17,0,2018-19,615,495,"1570000(FifteenLakh
Seventy Thousand
Only)",65,"UG [4 Years
Program(s)]",Indian Institute of Technology Delhi 
2016-17,749,751,2017-18,0,2019-20,650,511,"1550000(Fifteen Lakh
Fifty Thousand Only)",90,"UG [4 Years
Program(s)]",Indian Institute of Technology Delhi 
2014-15,749,759,2015-16,0,2017-18,654,431,"1306000(Thirteen Lakh
Six Thousand Only)",70,"UG [5 Years
Program(s)]",Indian Institute of Technology Delhi 
2015-16,749,746,2016-17,0,2018-19,615,495,"1570000(FifteenLakh
Seventy Thousand
Only)",65,"UG [5 Years
Program(s)]",Indian Institute of Technology Delhi 
2016-17,749,751,2017-18,0,2019-20,650,511,"1550000(Fifteen Lakh
Fifty Thousand Only)",90,"UG [5 Years
Program(s)]",Indian Institute of Technology Delhi 
2014-15,749,759,2015-16,0,2017-18,654,431,"1306000(Thirteen Lakh
Six Thousand Only)",70,"PG [2 Year
Program(s)]",Indian Institute of Technology Delhi 
2015-16,749,746,2016-17,0,2018-19,615,495,"1570000(FifteenLakh
Seventy Thousand
Only)",65,"PG [2 Year
Program(s)]",Indian Institute of Technology Delhi 
2016-17,749,751,2017-18,0,2019-20,650,511,"1550000(Fifteen Lakh
Fifty Thousand Only)",90,"PG [2 Year
Program(s)]",Indian Institute of Technology Delhi 
2014-15,827,809,2015-16,0,2017-18,789,354,"1400000(Fourteen
Lakh)",387,"UG [4 Years
Program(s)]",Indian Institute of Technology Kanpur 
2015-16,827,803,2016-17,0,2018-19,770,437,1500000(Fifteen Lakh),301,"UG [4 Years
Program(s)]",Indian Institute of Technology Kanpur 
