Institute,Financial Year,2019-20,2018-19,2017-18
Institute of Chemical Technology ,Total no. of Sponsored Projects,170,200,153
Institute of Chemical Technology ,Total no. of Funding Agencies,100,90,89
Institute of Chemical Technology ,Total Amount Received (Amount in Rupees),312090703,294796291,44096720
Jamia Millia Islamia ,Total no. of Sponsored Projects,199,121,76
Jamia Millia Islamia ,Total no. of Funding Agencies,45,30,19
Jamia Millia Islamia ,Total Amount Received (Amount in Rupees),486864702,300732663,331361243
Kalasalingam Academy of Research and Higher Education ,Total no. of Sponsored Projects,199,164,93
Kalasalingam Academy of Research and Higher Education ,Total no. of Funding Agencies,138,121,65
Kalasalingam Academy of Research and Higher Education ,Total Amount Received (Amount in Rupees),130627830,93203635,47308347
Sri Venkateswara University ,Total no. of Sponsored Projects,15,34,21
Sri Venkateswara University ,Total no. of Funding Agencies,10,15,12
Sri Venkateswara University ,Total Amount Received (Amount in Rupees),99856425,531494273,286546578
Indian Institute of Technology Guwahati ,Total no. of Sponsored Projects,289,382,354
Indian Institute of Technology Guwahati ,Total no. of Funding Agencies,42,17,22
Indian Institute of Technology Guwahati ,Total Amount Received (Amount in Rupees),795500000,809200000,875200000
Gujarat University ,Total no. of Sponsored Projects,51,45,41
Gujarat University ,Total no. of Funding Agencies,18,16,13
Gujarat University ,Total Amount Received (Amount in Rupees),1334792506,1334581463,422263068
Osmania University ,Total no. of Sponsored Projects,97,131,77
Osmania University ,Total no. of Funding Agencies,24,36,18
Osmania University ,Total Amount Received (Amount in Rupees),661257133,576133000,187600000
Indian Institute of Technology Roorkee ,Total no. of Sponsored Projects,177,159,193
Indian Institute of Technology Roorkee ,Total no. of Funding Agencies,46,78,123
Indian Institute of Technology Roorkee ,Total Amount Received (Amount in Rupees),876430000,575085819,512525005
Jamia Hamdard ,Total no. of Sponsored Projects,66,103,55
Jamia Hamdard ,Total no. of Funding Agencies,33,12,16
Jamia Hamdard ,Total Amount Received (Amount in Rupees),132475101,565086044,278851995
University of Delhi ,Total no. of Sponsored Projects,341,339,276
University of Delhi ,Total no. of Funding Agencies,46,57,33
University of Delhi ,Total Amount Received (Amount in Rupees),500736706,615782537,509951849
