Institute,2018-19
Symbiosis International ,205621823
Osmania University ,166308000
Amity University ,120431670
Indian Institute of Technology Kharagpur ,104332671
Manipal Academy of Higher Education ,95107000
Guru Nanak Dev University ,93095430
Indian Institute of Technology Madras ,92138760
SVKM`s Narsee Monjee Institute of Management Studies ,82029000
"Andhra University, Visakhapatnam ",76288020
Indian Institute of Technology Delhi ,60070133
Indian Institute of Technology Bombay ,53191461
Indian Institute of Technology Kanpur ,51835000
Jamia Millia Islamia ,43329010
Amrita Vishwa Vidyapeetham ,37126965
Lovely Professional University ,36000000
University of Delhi ,34600000
Shanmugha Arts Science Technology & Research Academy ,34044600
Birla Institute of Technology & Science -Pilani ,33811390
Tata Institute of Social Sciences ,33699212
National Institute of Technology Tiruchirappalli ,32839718
Shiv Nadar University ,27682813
Saveetha Institute of Medical and Technical Sciences ,25200000
Chandigarh University ,24015600
Bharath Institute of Higher Education & Research ,22543000
Aligarh Muslim University ,21525840
Sri Sivasubramaniya Nadar College of Engineering ,20718222
Indian Institute of Technology Hyderabad ,20505000
Indian Institute of Technology (Indian School of Mines) ,20066467
Savitribai Phule Pune University ,18807555
Mumbai University ,18619460
JSS Academy of Higher Education and Research ,17871303
Guru Gobind Singh Indraprastha University ,17550000
Kalasalingam Academy of Research and Higher Education ,16456850
Jamia Hamdard ,15051570
National Institute of Technology Karnataka ,12944760
Datta Meghe Institute of Medical Sciences ,12800000
Gujarat University ,11173951
S.R.M. Institute of Science and Technology ,10532250
Mahatma Gandhi University ,7149200
Sri Ramachandra Institute of Higher Education and Research ,6253240
Delhi Technological University ,6000000
University of Kashmir ,5200000
Dr. D. Y. Patil Vidyapeeth ,5005000
Sathyabama Institute of Science and Technology ,4235000
Kalinga Institute of Industrial Technology ,3565300
Dr. B. R. Ambedkar National Institute of Technology ,3400000
Calcutta University ,3196000
University of Madras ,2520140
Indian Institute of Science ,2364673
Alagappa University ,2186100
Kerala University ,1700000
Siksha `O` Anusandhan ,1600000
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,1217500
Banaras Hindu University ,1190000
National Institute of Technology Warangal ,1100000
University of Hyderabad ,1100000
Banasthali Vidyapith ,941900
Mysore University ,791700
Tezpur University ,638461
Panjab University ,516880
Gauhati University ,468000
Indian Institute of Technology Roorkee ,346444
Bharathiar University ,300400
Sardar Vallabhbhai National Institute of Technology ,227623
Sri Venkateswara University ,180000
Jawaharlal Nehru University ,44238
Indian Institute of Technology Bhubaneswar ,0
Indian Institute of Technology Ropar ,0
National Institute of Technology Rourkela ,0
Madurai Kamaraj University ,0
Pondicherry University ,0
Indian Institute of Science Education & Research Pune ,0
Homi Bhabha National Institute ,0
Indian Institute of Engineering Science and Technology ,0
North Eastern Hill University ,0
"Indian Institute of Science Education & Research, Mohali ",0
Institute of Chemical Technology ,0
PSG College of Technology ,0
National Institute of Technology Silchar ,0
Indian Institute of Technology Guwahati ,0
Indian Institute of Science Education & Research Kolkata ,0
Anna University ,0
Indian Institute of Technology Patna ,0
Indian Institute of Science Education & Research Bhopal ,0
Malaviya National Institute of Technology ,0
Bharathidasan University ,0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0
Indian Institute of Technology Mandi ,0
Visva Bharati ,0
Visvesvaraya National Institute of Technology ,0
Calicut University ,0
Indian Institute of Technology Gandhinagar ,0
King George`s Medical University ,0
Vellore Institute of Technology ,0
Motilal Nehru National Institute of Technology ,0
Cochin University of Science and Technology ,0
National Institute of Technology Durgapur ,0
Jadavpur University ,0
Indian Institute of Technology Indore ,0
Thapar Institute of Engineering and Technology ,0
