2018-19,Institute
18261,S.R.M. Institute of Science and Technology 
12315,Amity University 
11820,Vellore Institute of Technology 
10677,University of Delhi 
9270,Banaras Hindu University 
8075,Lovely Professional University 
7808,Chandigarh University 
7456,Manipal Academy of Higher Education 
7338,Bharath Institute of Higher Education & Research 
7265,Panjab University 
7194,Calcutta University 
6854,Kalinga Institute of Industrial Technology 
6336,Aligarh Muslim University 
6058,Amrita Vishwa Vidyapeetham 
5589,Symbiosis International 
5130,Anna University 
4464,Guru Nanak Dev University 
3975,Jadavpur University 
3933,Sathyabama Institute of Science and Technology 
3887,Siksha `O` Anusandhan 
3852,Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
3780,"Andhra University, Visakhapatnam "
3711,Birla Institute of Technology & Science -Pilani 
3670,University of Kashmir 
3498,Banasthali Vidyapith 
3316,Sri Venkateswara University 
3257,Pondicherry University 
3129,Osmania University 
3108,Delhi Technological University 
3067,Jamia Millia Islamia 
3028,Visva Bharati 
3018,Indian Institute of Technology Kharagpur 
3015,Mumbai University 
2902,Mysore University 
2635,Shanmugha Arts Science Technology & Research Academy 
2635,Thapar Institute of Engineering and Technology 
2634,Saveetha Institute of Medical and Technical Sciences 
2604,Savitribai Phule Pune University 
2406,PSG College of Technology 
2400,Gauhati University 
2269,Indian Institute of Technology (Indian School of Mines) 
2258,Indian Institute of Technology Bombay 
2140,SVKM`s Narsee Monjee Institute of Management Studies 
2113,Sri Ramachandra Institute of Higher Education and Research 
2067,Indian Institute of Technology Delhi 
1951,Jamia Hamdard 
1886,Indian Institute of Technology Kanpur 
1872,National Institute of Technology Rourkela 
1830,Indian Institute of Technology Roorkee 
1795,Indian Institute of Technology Madras 
1748,Kalasalingam Academy of Research and Higher Education 
1730,JSS Academy of Higher Education and Research 
1724,University of Madras 
1699,North Eastern Hill University 
1691,National Institute of Technology Tiruchirappalli 
1687,Alagappa University 
1648,Malaviya National Institute of Technology 
1619,National Institute of Technology Warangal 
1614,Jawaharlal Nehru University 
1610,Indian Institute of Technology (Banaras Hindu University) Varanasi 
1607,Motilal Nehru National Institute of Technology 
1566,University of Hyderabad 
1530,National Institute of Technology Karnataka 
1486,Tata Institute of Social Sciences 
1485,Visvesvaraya National Institute of Technology 
1465,Bharathiar University 
1449,Sardar Vallabhbhai National Institute of Technology 
1440,Indian Institute of Technology Guwahati 
1377,Dr. D. Y. Patil Vidyapeeth 
1314,Tezpur University 
1176,Sri Sivasubramaniya Nadar College of Engineering 
1175,Bharathidasan University 
1175,Cochin University of Science and Technology 
1174,National Institute of Technology Durgapur 
1147,Guru Gobind Singh Indraprastha University 
1108,Indian Institute of Engineering Science and Technology 
1051,Dr. B. R. Ambedkar National Institute of Technology 
1050,National Institute of Technology Silchar 
965,Datta Meghe Institute of Medical Sciences 
962,Calicut University 
758,Kerala University 
752,Madurai Kamaraj University 
731,Institute of Chemical Technology 
672,Shiv Nadar University 
637,King George`s Medical University 
632,Indian Institute of Science 
622,Indian Institute of Technology Bhubaneswar 
600,Indian Institute of Technology Hyderabad 
588,Indian Institute of Technology Mandi 
514,Indian Institute of Technology Gandhinagar 
488,Indian Institute of Technology Ropar 
480,Indian Institute of Technology Patna 
455,Mahatma Gandhi University 
448,Homi Bhabha National Institute 
443,Indian Institute of Technology Indore 
290,Indian Institute of Science Education & Research Bhopal 
200,Indian Institute of Science Education & Research Kolkata 
