Institute,2020_Ratio
Osmania University ,21680.9364548495
Indian Institute of Technology Madras ,17507.997125132395
Symbiosis International ,15665.781392955168
Indian Institute of Technology Hyderabad ,13451.025056947608
Guru Nanak Dev University ,13138.052480524806
SVKM`s Narsee Monjee Institute of Management Studies ,12243.728913011588
Shiv Nadar University ,12163.721951219512
Indian Institute of Technology Delhi ,12143.78345651832
Birla Institute of Technology & Science -Pilani ,11005.51347657733
Mahatma Gandhi University ,10954.969217238346
Institute of Chemical Technology ,10685.375067458175
Tata Institute of Social Sciences ,10399.955738223205
Indian Institute of Science ,10187.769123783031
"Andhra University, Visakhapatnam ",8597.26127320955
Indian Institute of Technology Bombay ,6905.782451440054
JSS Academy of Higher Education and Research ,5748.850772783798
Jamia Millia Islamia ,5324.452626696046
Indian Institute of Technology Roorkee ,4523.613608100906
Amity University ,4341.034127843987
Shanmugha Arts Science Technology & Research Academy ,4005.1568368693534
Indian Institute of Technology (Indian School of Mines) ,3909.7836648814077
Datta Meghe Institute of Medical Sciences ,3807.5636737844097
Manipal Academy of Higher Education ,3583.799897624024
Indian Institute of Technology Kharagpur ,3416.539621430863
Saveetha Institute of Medical and Technical Sciences ,3276.5132183321425
National Institute of Technology Karnataka ,3046.5803589849393
Bharath Institute of Higher Education & Research ,2864.5178382197105
Sri Sivasubramaniya Nadar College of Engineering ,2324.2077035592392
University of Madras ,2154.064412238325
Indian Institute of Technology Kanpur ,1944.03398596232
National Institute of Technology Tiruchirappalli ,1573.5408701984343
University of Delhi ,1559.1024751330094
Dr. D. Y. Patil Vidyapeeth ,1352.329262777024
Kerala University ,1318.88836552049
Cochin University of Science and Technology ,1278.2432432432433
Madurai Kamaraj University ,1145.0837950138505
Amrita Vishwa Vidyapeetham ,1024.6067841576653
University of Kashmir ,1014.760147601476
Sri Ramachandra Institute of Higher Education and Research ,991.5330664294188
Alagappa University ,643.267776096823
Delhi Technological University ,609.0133982947625
Sathyabama Institute of Science and Technology ,493.0061144149426
Calcutta University ,307.3370993168681
Jamia Hamdard ,291.00247963159757
Savitribai Phule Pune University ,229.43302462163993
Thapar Institute of Engineering and Technology ,204.5786653677545
Siksha `O` Anusandhan ,174.25650557620818
Tezpur University ,171.1338129496403
Mysore University ,162.20600162206003
PSG College of Technology ,151.79113539769278
Kalinga Institute of Industrial Technology ,151.76042088223392
Bharathiar University ,111.70500676589987
National Institute of Technology Warangal ,110.76241462063874
Aligarh Muslim University ,104.89602930983266
Gauhati University ,101.91637630662021
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,95.09180041635888
Banasthali Vidyapith ,93.44514804039021
Indian Institute of Technology Guwahati ,80.66374740723668
S.R.M. Institute of Science and Technology ,76.23226859883661
University of Hyderabad ,55.425904317386234
Banaras Hindu University ,35.56771545827633
Sri Venkateswara University ,26.553753408927804
Pondicherry University ,24.871069705539842
Bharathidasan University ,23.062381852551987
Jawaharlal Nehru University ,14.456460674157304
Indian Institute of Science Education & Research Pune ,0.0
Homi Bhabha National Institute ,0.0
Indian Institute of Technology Gandhinagar ,0.0
Indian Institute of Engineering Science and Technology ,0.0
National Institute of Technology Rourkela ,0.0
"Indian Institute of Science Education & Research, Mohali ",0.0
North Eastern Hill University ,0.0
Indian Institute of Technology Mandi ,0.0
Indian Institute of Technology Bhubaneswar ,0.0
Indian Institute of Science Education & Research Kolkata ,0.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0.0
Anna University ,0.0
Calicut University ,0.0
Indian Institute of Technology Patna ,0.0
Panjab University ,0.0
Vellore Institute of Technology ,0.0
Indian Institute of Science Education & Research Bhopal ,0.0
National Institute of Technology Durgapur ,0.0
Visva Bharati ,0.0
Jadavpur University ,0.0
King George`s Medical University ,0.0
