Institute,Reasearch Project%(2017-18),Reasearch Project%(2018-19),Reasearch Project%(2019-20),Consultancy Project%(2017-18),Consultancy Project%(2018-19),consultancy Project%(2019-20)
Alagappa University ,88.37209302325581,86.56716417910447,94.73684210526315,11.627906976744185,13.432835820895523,5.263157894736842
Aligarh Muslim University ,72.0,70.96774193548387,53.289473684210535,28.000000000000004,29.03225806451613,46.71052631578947
Amity University ,95.36423841059603,92.85714285714286,94.90445859872611,4.635761589403973,7.142857142857142,5.095541401273886
Amrita Vishwa Vidyapeetham ,1.7744631606017742,1.6951147733961152,55.06329113924051,98.22553683939823,98.30488522660389,44.936708860759495
"Andhra University, Visakhapatnam ",30.0,21.57676348547718,21.544715447154474,70.0,78.42323651452283,78.45528455284553
Anna University ,21.25,7.6541459957476965,5.309218203033839,78.75,92.3458540042523,94.69078179696616
Banaras Hindu University ,99.47643979057592,99.46666666666667,99.47229551451187,0.5235602094240838,0.5333333333333333,0.5277044854881267
Banasthali Vidyapith ,94.44444444444444,90.38461538461539,78.72340425531915,5.555555555555555,9.615384615384617,21.27659574468085
Bharath Institute of Higher Education & Research ,8.695652173913043,3.816793893129771,7.415730337078652,91.30434782608695,96.18320610687023,92.58426966292134
Bharathiar University ,92.3076923076923,80.0,94.44444444444444,7.6923076923076925,20.0,5.555555555555555
Bharathidasan University ,88.37209302325581,89.04109589041096,79.71014492753623,11.627906976744185,10.95890410958904,20.28985507246377
Birla Institute of Technology & Science -Pilani ,88.34080717488789,92.43986254295532,91.5014164305949,11.659192825112108,7.560137457044673,8.498583569405099
Calcutta University ,95.10268562401264,94.81065918653576,91.5549597855228,4.897314375987362,5.189340813464235,8.445040214477212
Calicut University ,94.28571428571428,96.7741935483871,91.30434782608695,5.714285714285714,3.225806451612903,8.695652173913043
Cochin University of Science and Technology ,25.79957356076759,13.908629441624365,29.3398533007335,74.20042643923242,86.09137055837563,70.6601466992665
Datta Meghe Institute of Medical Sciences ,46.666666666666664,51.21951219512195,42.02127659574468,53.333333333333336,48.78048780487805,57.97872340425532
Delhi Technological University ,92.4908424908425,94.5107398568019,81.88976377952756,7.509157509157509,5.4892601431980905,18.11023622047244
Dr. D. Y. Patil Vidyapeeth ,90.0,85.71428571428571,85.41666666666666,10.0,14.285714285714285,14.583333333333334
Gauhati University ,90.66666666666666,88.04347826086956,64.0,9.333333333333334,11.956521739130435,36.0
Guru Nanak Dev University ,94.8051948051948,92.42424242424242,84.12698412698413,5.194805194805195,7.575757575757576,15.873015873015872
Homi Bhabha National Institute ,99.28571428571429,99.67811158798283,99.57761351636748,0.7142857142857143,0.3218884120171674,0.42238648363252373
Indian Institute of Engineering Science and Technology ,45.85635359116022,45.78313253012048,48.214285714285715,54.14364640883977,54.21686746987952,51.78571428571429
Indian Institute of Science ,88.63636363636364,72.01438848920864,84.13886997957795,11.363636363636363,27.98561151079137,15.861130020422056
Indian Institute of Science Education & Research Bhopal ,96.0352422907489,96.49122807017544,97.2,3.9647577092511015,3.508771929824561,2.8000000000000003
Indian Institute of Science Education & Research Kolkata ,92.92929292929293,95.4954954954955,89.79591836734694,7.07070707070707,4.504504504504505,10.204081632653061
Indian Institute of Science Education & Research Pune ,97.63313609467455,97.10144927536231,96.62921348314607,2.366863905325444,2.898550724637681,3.3707865168539324
"Indian Institute of Science Education & Research, Mohali ",100.0,100.0,100.0,0.0,0.0,0.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,11.221449851042701,11.468646864686468,14.49375866851595,88.77855014895731,88.53135313531352,85.50624133148405
Indian Institute of Technology (Indian School of Mines) ,25.0,47.368421052631575,69.4980694980695,75.0,52.63157894736842,30.501930501930502
Indian Institute of Technology Bhubaneswar ,73.79310344827587,74.26900584795322,68.87755102040816,26.20689655172414,25.730994152046783,31.122448979591837
Indian Institute of Technology Bombay ,28.404255319148934,48.643410852713174,51.92186515437933,71.59574468085106,51.356589147286826,48.07813484562067
Indian Institute of Technology Delhi ,70.62228654124458,59.81963927855711,63.555992141453835,29.377713458755427,40.18036072144289,36.444007858546165
Indian Institute of Technology Gandhinagar ,73.58490566037736,75.96899224806202,79.03780068728523,26.41509433962264,24.031007751937985,20.962199312714777
Indian Institute of Technology Guwahati ,78.31858407079646,69.45454545454545,65.38461538461539,21.68141592920354,30.545454545454547,34.61538461538461
Indian Institute of Technology Hyderabad ,61.849710982658955,45.9349593495935,47.004608294930875,38.15028901734104,54.0650406504065,52.995391705069125
Indian Institute of Technology Kanpur ,73.16326530612245,75.0503018108652,73.29401853411963,26.836734693877553,24.949698189134807,26.70598146588037
Indian Institute of Technology Kharagpur ,68.9989235737352,73.40862422997947,55.39280958721704,31.001076426264802,26.591375770020537,44.607190412782955
Indian Institute of Technology Madras ,42.44868035190616,39.428959891230456,38.956078930617444,57.551319648093845,60.571040108769544,61.043921069382556
Indian Institute of Technology Mandi ,90.41095890410958,92.22222222222223,92.43243243243244,9.58904109589041,7.777777777777778,7.567567567567568
Indian Institute of Technology Patna ,85.41666666666666,57.14285714285714,54.761904761904766,14.583333333333334,42.857142857142854,45.23809523809524
Indian Institute of Technology Roorkee ,15.390749601275916,15.52734375,18.341968911917096,84.60925039872407,84.47265625,81.65803108808291
Institute of Chemical Technology ,44.21965317919075,60.42296072507553,46.321525885558586,55.78034682080924,39.577039274924466,53.67847411444142
JSS Academy of Higher Education and Research ,26.146788990825687,29.457364341085274,35.33123028391167,73.85321100917432,70.54263565891473,64.66876971608832
Jadavpur University ,7.8863090472377895,10.649698593436034,13.660062565172055,92.11369095276221,89.35030140656397,86.33993743482795
Jamia Hamdard ,85.9375,91.96428571428571,77.64705882352942,14.0625,8.035714285714286,22.35294117647059
Jamia Millia Islamia ,19.53727506426735,36.44578313253012,79.60000000000001,80.46272493573264,63.55421686746988,20.4
Jawaharlal Nehru University ,94.31438127090301,96.56160458452722,90.8284023668639,5.68561872909699,3.4383954154727796,9.171597633136095
Kalinga Institute of Industrial Technology ,57.49999999999999,83.97435897435898,66.66666666666666,42.5,16.025641025641026,33.33333333333333
Kerala University ,22.981366459627328,38.81278538812785,1.4557872034507549,77.01863354037268,61.18721461187214,98.54421279654925
King George`s Medical University ,77.14285714285715,78.86904761904762,78.36990595611285,22.857142857142858,21.13095238095238,21.630094043887148
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,41.41274238227147,34.13654618473896,55.172413793103445,58.587257617728525,65.86345381526104,44.827586206896555
Madurai Kamaraj University ,92.10526315789474,94.33962264150944,92.98245614035088,7.894736842105263,5.660377358490567,7.017543859649122
Mahatma Gandhi University ,29.910714285714285,14.896755162241886,15.992970123022848,70.08928571428571,85.10324483775811,84.00702987697716
Manipal Academy of Higher Education ,60.5607476635514,14.071856287425149,13.73144399460189,39.4392523364486,85.92814371257485,86.26855600539811
Mysore University ,94.3820224719101,96.51162790697676,96.49122807017544,5.617977528089887,3.488372093023256,3.508771929824561
National Institute of Technology Durgapur ,42.42424242424242,40.55299539170507,64.38356164383562,57.57575757575758,59.44700460829493,35.61643835616438
National Institute of Technology Karnataka ,33.33333333333333,35.18518518518518,38.759689922480625,66.66666666666666,64.81481481481481,61.240310077519375
National Institute of Technology Rourkela ,76.69172932330827,70.68273092369478,80.28846153846155,23.308270676691727,29.31726907630522,19.71153846153846
National Institute of Technology Tiruchirappalli ,68.96551724137932,63.793103448275865,71.01449275362319,31.03448275862069,36.206896551724135,28.985507246376812
National Institute of Technology Warangal ,31.76470588235294,18.846153846153847,54.0,68.23529411764706,81.15384615384616,46.0
North Eastern Hill University ,100.0,98.4126984126984,96.15384615384616,0.0,1.5873015873015872,3.8461538461538463
Osmania University ,32.21757322175732,37.64367816091954,34.76702508960574,67.78242677824268,62.356321839080465,65.23297491039428
PSG College of Technology ,3.392857142857143,13.017751479289942,37.5,96.60714285714286,86.98224852071006,62.5
Panjab University ,86.25,84.0909090909091,75.46296296296296,13.750000000000002,15.909090909090908,24.537037037037038
Pondicherry University ,96.96969696969697,81.33333333333333,68.11594202898551,3.0303030303030303,18.666666666666668,31.88405797101449
S.R.M. Institute of Science and Technology ,59.42857142857143,37.80487804878049,32.4468085106383,40.57142857142857,62.19512195121951,67.5531914893617
SVKM`s Narsee Monjee Institute of Management Studies ,50.0,50.467289719626166,35.714285714285715,50.0,49.532710280373834,64.28571428571429
Sathyabama Institute of Science and Technology ,60.86956521739131,60.30150753768844,60.64814814814815,39.130434782608695,39.698492462311556,39.351851851851855
Saveetha Institute of Medical and Technical Sciences ,98.3227773868168,98.32227857978931,96.1820851688693,1.6772226131832042,1.6777214202106907,3.81791483113069
Savitribai Phule Pune University ,86.79245283018868,72.14285714285714,84.7457627118644,13.20754716981132,27.857142857142858,15.254237288135593
Shanmugha Arts Science Technology & Research Academy ,8.867924528301886,10.201912858660998,11.561866125760648,91.13207547169812,89.798087141339,88.43813387423936
Shiv Nadar University ,98.21428571428571,86.15384615384616,94.91525423728814,1.7857142857142856,13.846153846153847,5.084745762711865
Siksha `O` Anusandhan ,70.58823529411765,65.83333333333333,53.17460317460318,29.411764705882355,34.166666666666664,46.82539682539682
Sri Ramachandra Institute of Higher Education and Research ,12.455516014234876,21.461187214611872,38.31775700934579,87.54448398576513,78.53881278538812,61.6822429906542
Sri Sivasubramaniya Nadar College of Engineering ,62.5,56.94444444444444,51.470588235294116,37.5,43.05555555555556,48.529411764705884
Sri Venkateswara University ,3.004291845493562,5.128205128205128,3.34075723830735,96.99570815450643,94.87179487179486,96.65924276169265
