Institute,Minimum Programs,Minimum Ratio
Indian Institute of Technology Patna ,"UG [4 Years
Program(s)]",0.12599318955732122
Indian Institute of Technology Kanpur ,"UG [4 Years
Program(s)]",0.13129032258064516
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"UG [5 Years
Program(s)]",0.13459879206212252
Indian Institute of Technology Guwahati ,"UG [4 Years
Program(s)]",0.14296875
Indian Institute of Technology Gandhinagar ,"UG [4 Years
Program(s)]",0.14696969696969697
Indian Institute of Technology Indore ,"UG [4 Years
Program(s)]",0.15191256830601094
Indian Institute of Science ,"UG [4 Years
Program(s)]",0.15738498789346247
National Institute of Technology Silchar ,"UG [4 Years
Program(s)]",0.16142918639690057
Birla Institute of Technology & Science -Pilani ,"UG [4 Years
Program(s)]",0.1620569146280579
Indian Institute of Technology Bhubaneswar ,"UG [5 Years
Program(s)]",0.16981132075471697
Indian Institute of Technology (Indian School of Mines) ,"PG [2 Year
Program(s)]",0.17117988394584138
Indian Institute of Technology Delhi ,"UG [5 Years
Program(s)]",0.177734375
Indian Institute of Technology Hyderabad ,"PG [3 Year
Program(s)]",0.20833333333333334
Sardar Vallabhbhai National Institute of Technology ,"UG [4 Years
Program(s)]",0.21111945905334334
Indian Institute of Technology Ropar ,"PG [3 Year
Program(s)]",0.2222222222222222
Indian Institute of Technology Madras ,"PG [2 Year
Program(s)]",0.23110151187904968
Indian Institute of Technology Bombay ,"PG [2 Year
Program(s)]",0.23128342245989306
Indian Institute of Technology Roorkee ,"PG [2 Year
Program(s)]",0.23218776194467727
Indian Institute of Engineering Science and Technology ,"PG [2 Year
Program(s)]",0.24798711755233493
Motilal Nehru National Institute of Technology ,"PG [2 Year
Program(s)]",0.27802690582959644
Indian Institute of Science Education & Research Bhopal ,"UG [4 Years
Program(s)]",0.2893081761006289
National Institute of Technology Tiruchirappalli ,"PG [3 Year
Program(s)]",0.2922374429223744
National Institute of Technology Warangal ,"PG [2 Year
Program(s)]",0.2941729323308271
Indian Institute of Technology Kharagpur ,"UG [5 Years
Program(s)]",0.296551724137931
National Institute of Technology Rourkela ,"PG [2 Year
Program(s)]",0.30818181818181817
Indian Institute of Science Education & Research Kolkata ,"UG [5 Years
Program(s)]",0.3136427566807314
Dr. B. R. Ambedkar National Institute of Technology ,"UG [4 Years
Program(s)]",0.3215014279885761
National Institute of Technology Karnataka ,"PG [3 Year
Program(s)]",0.3352941176470588
Visvesvaraya National Institute of Technology ,"PG [2 Year
Program(s)]",0.3767857142857143
Institute of Chemical Technology ,"UG [4 Years
Program(s)]",0.4378698224852071
National Institute of Technology Durgapur ,"PG [3 Year
Program(s)]",0.43902439024390244
