Institute,Programs,Overfill-percent
Indian Institute of Technology Ropar ,PG [3 Years Program(s)],inf
National Institute of Technology Durgapur ,PG [3 Years Program(s)],inf
Indian Institute of Engineering Science and Technology ,PG-Integrated,inf
Sri Venkateswara University ,UG [3 Years Program(s)],inf
Tezpur University ,UG [3 Years Program(s)],inf
Indian Institute of Technology Madras ,UG [5 Years Program(s)],1001.2738853503184
Mumbai University ,UG [5 Years Program(s)],950.0
Amity University ,PG [3 Years Program(s)],880.0
Lovely Professional University ,PG-Integrated,840.0
University of Kashmir ,UG [5 Years Program(s)],609.2307692307693
Amity University ,PG-Integrated,597.6
Anna University ,UG [5 Years Program(s)],586.25
Gauhati University ,PG-Integrated,516.6666666666666
Madurai Kamaraj University ,PG-Integrated,515.0
Amrita Vishwa Vidyapeetham ,PG [6 Years Program(s)],506.6666666666667
Sri Ramachandra Institute of Higher Education and Research ,PG-Integrated,500.0
JSS Academy of Higher Education and Research ,PG [6 Years Program(s)],500.0
Manipal Academy of Higher Education ,PG [6 Years Program(s)],490.0
Sri Ramachandra Institute of Higher Education and Research ,PG [6 Years Program(s)],490.0
University of Kashmir ,PG-Integrated,485.7142857142857
S.R.M. Institute of Science and Technology ,PG [6 Years Program(s)],483.3333333333333
Aligarh Muslim University ,UG [5 Years Program(s)],447.2
Indian Institute of Technology (Indian School of Mines) ,UG [5 Years Program(s)],434.93975903614455
Shanmugha Arts Science Technology & Research Academy ,PG-Integrated,430.6666666666667
Cochin University of Science and Technology ,UG [5 Years Program(s)],430.0
Indian Institute of Technology Bombay ,UG [5 Years Program(s)],415.7303370786517
PSG College of Technology ,UG [5 Years Program(s)],415.55555555555554
Indian Institute of Technology Mandi ,PG [6 Years Program(s)],414.81481481481484
Indian Institute of Technology Kharagpur ,PG-Integrated,413.4920634920635
"Andhra University, Visakhapatnam ",PG [6 Years Program(s)],410.0
Sri Sivasubramaniya Nadar College of Engineering ,UG [4 Years Program(s)],408.20512820512823
Calcutta University ,UG [5 Years Program(s)],406.6666666666667
Osmania University ,UG [5 Years Program(s)],403.3333333333333
Panjab University ,UG [5 Years Program(s)],400.8695652173913
Banaras Hindu University ,UG [5 Years Program(s)],400.0
Gauhati University ,UG [5 Years Program(s)],400.0
Dr. D. Y. Patil Vidyapeeth ,UG [5 Years Program(s)],400.0
Guru Gobind Singh Indraprastha University ,UG [5 Years Program(s)],398.3333333333333
King George`s Medical University ,UG [5 Years Program(s)],394.6875
Manipal Academy of Higher Education ,UG [5 Years Program(s)],393.83720930232556
Amrita Vishwa Vidyapeetham ,UG [5 Years Program(s)],391.8181818181818
Indian Institute of Technology Delhi ,UG [5 Years Program(s)],390.2439024390244
National Institute of Technology Rourkela ,PG-Integrated,385.3333333333333
PSG College of Technology ,PG-Integrated,385.0
Jamia Millia Islamia ,UG [5 Years Program(s)],384.2105263157895
Indian Institute of Technology Kharagpur ,UG [3 Years Program(s)],384.0
JSS Academy of Higher Education and Research ,UG [5 Years Program(s)],383.3333333333333
Sri Ramachandra Institute of Higher Education and Research ,UG [5 Years Program(s)],377.42857142857144
Datta Meghe Institute of Medical Sciences ,UG [5 Years Program(s)],376.5853658536585
King George`s Medical University ,PG [2 Years Program(s)],375.0
Indian Institute of Technology Madras ,PG-Integrated,367.39130434782606
SVKM`s Narsee Monjee Institute of Management Studies ,PG-Integrated,363.5
Indian Institute of Technology Roorkee ,UG [5 Years Program(s)],359.375
National Institute of Technology Karnataka ,UG [4 Years Program(s)],354.72972972972974
Indian Institute of Science Education & Research Kolkata ,UG [5 Years Program(s)],353.3980582524272
Anna University ,PG-Integrated,352.0
Kalasalingam Academy of Research and Higher Education ,UG [5 Years Program(s)],350.0
Saveetha Institute of Medical and Technical Sciences ,UG [5 Years Program(s)],348.4782608695652
Kalinga Institute of Industrial Technology ,UG [5 Years Program(s)],344.5762711864407
Banasthali Vidyapith ,UG [5 Years Program(s)],342.9166666666667
Jamia Millia Islamia ,UG [4 Years Program(s)],340.4651162790698
Indian Institute of Science Education & Research Bhopal ,UG [5 Years Program(s)],339.55555555555554
Guru Nanak Dev University ,UG [5 Years Program(s)],337.6237623762376
Calcutta University ,PG-Integrated,335.7142857142857
Indian Institute of Technology Bombay ,PG-Integrated,332.5
Tezpur University ,PG-Integrated,332.3076923076923
PSG College of Technology ,UG [4 Years Program(s)],329.2105263157895
Anna University ,UG [4 Years Program(s)],327.4493927125506
Indian Institute of Technology Kharagpur ,UG [5 Years Program(s)],327.27272727272725
Dr. D. Y. Patil Vidyapeeth ,PG-Integrated,326.6666666666667
Pondicherry University ,PG-Integrated,323.65145228215766
Aligarh Muslim University ,UG [4 Years Program(s)],323.3160621761658
SVKM`s Narsee Monjee Institute of Management Studies ,UG [4 Years Program(s)],323.1578947368421
Kalinga Institute of Industrial Technology ,UG [4 Years Program(s)],321.0382513661202
University of Hyderabad ,PG-Integrated,319.9186991869919
North Eastern Hill University ,UG [5 Years Program(s)],319.09090909090907
Osmania University ,UG [4 Years Program(s)],318.3333333333333
Guru Gobind Singh Indraprastha University ,UG [4 Years Program(s)],315.2542372881356
Lovely Professional University ,UG [5 Years Program(s)],314.0740740740741
Indian Institute of Technology Bombay ,UG [4 Years Program(s)],313.1578947368421
Chandigarh University ,UG [5 Years Program(s)],308.2142857142857
National Institute of Technology Rourkela ,UG [5 Years Program(s)],308.0
S.R.M. Institute of Science and Technology ,UG [5 Years Program(s)],307.82608695652175
Cochin University of Science and Technology ,UG [4 Years Program(s)],303.50877192982455
Institute of Chemical Technology ,UG [4 Years Program(s)],303.3195020746888
Banaras Hindu University ,UG [4 Years Program(s)],300.39292730844795
Gauhati University ,UG [4 Years Program(s)],300.0
JSS Academy of Higher Education and Research ,UG [4 Years Program(s)],298.57142857142856
Mumbai University ,PG-Integrated,298.5074626865672
Indian Institute of Science ,UG [4 Years Program(s)],298.3333333333333
University of Delhi ,UG [4 Years Program(s)],295.45454545454544
Indian Institute of Technology (Banaras Hindu University) Varanasi ,UG [5 Years Program(s)],293.7125748502994
Visvesvaraya National Institute of Technology ,UG [5 Years Program(s)],292.7710843373494
Indian Institute of Technology Gandhinagar ,UG [4 Years Program(s)],292.2279792746114
Bharathidasan University ,PG [6 Years Program(s)],291.6666666666667
Lovely Professional University ,UG [4 Years Program(s)],291.1050724637681
Siksha `O` Anusandhan ,UG [5 Years Program(s)],289.30232558139534
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,UG [4 Years Program(s)],287.81609195402297
Indian Institute of Engineering Science and Technology ,UG [5 Years Program(s)],287.5
Shanmugha Arts Science Technology & Research Academy ,UG [5 Years Program(s)],287.22222222222223
Bharath Institute of Higher Education & Research ,UG [5 Years Program(s)],286.7073170731707
Indian Institute of Technology Kanpur ,UG [4 Years Program(s)],286.6593164277839
Shanmugha Arts Science Technology & Research Academy ,UG [4 Years Program(s)],286.25
Birla Institute of Technology & Science -Pilani ,UG [4 Years Program(s)],285.74743122306927
Indian Institute of Technology Roorkee ,PG-Integrated,284.13793103448273
Manipal Academy of Higher Education ,UG [4 Years Program(s)],282.1791926485067
Chandigarh University ,UG [4 Years Program(s)],280.96153846153845
National Institute of Technology Tiruchirappalli ,UG [4 Years Program(s)],280.8091286307054
Amity University ,UG [4 Years Program(s)],279.5483870967742
Indian Institute of Technology (Indian School of Mines) ,UG [4 Years Program(s)],279.17146144994246
National Institute of Technology Tiruchirappalli ,UG [5 Years Program(s)],278.3333333333333
National Institute of Technology Warangal ,UG [4 Years Program(s)],277.8884462151394
Banasthali Vidyapith ,UG [3 Years Program(s)],274.75728155339806
Vellore Institute of Technology ,PG-Integrated,274.1666666666667
Saveetha Institute of Medical and Technical Sciences ,UG [4 Years Program(s)],273.82978723404256
Symbiosis International ,UG [5 Years Program(s)],273.48214285714283
Tezpur University ,UG [4 Years Program(s)],271.7877094972067
Motilal Nehru National Institute of Technology ,UG [4 Years Program(s)],267.9920477137177
Bharathidasan University ,PG-Integrated,265.0
Indian Institute of Technology Delhi ,UG [4 Years Program(s)],260.87420042643924
Indian Institute of Technology Hyderabad ,UG [4 Years Program(s)],260.5678233438486
Indian Institute of Technology Roorkee ,UG [4 Years Program(s)],260.2711157455683
Visvesvaraya National Institute of Technology ,UG [4 Years Program(s)],260.23579849946407
Indian Institute of Technology Indore ,UG [4 Years Program(s)],258.5034013605442
National Institute of Technology Durgapur ,UG [4 Years Program(s)],258.1012658227848
Indian Institute of Technology Bhubaneswar ,UG [4 Years Program(s)],257.58620689655174
