Institute,Programs,Percent Reimbursement
Dr. B. R. Ambedkar National Institute of Technology ,"PG [2 Year
Program(s)]",93.46938775510205
Kerala University ,"PG [1 Year
Program(s)]",91.54078549848943
Calcutta University ,"UG [3 Years
Program(s)]",86.69322709163346
Osmania University ,"PG [2 Year
Program(s)]",86.47380766223613
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"PG [2 Year
Program(s)]",86.04651162790698
Tezpur University ,"UG [3 Years
Program(s)]",85.71428571428571
Kalinga Institute of Industrial Technology ,"UG [3 Years
Program(s)]",85.59221457393781
Jamia Millia Islamia ,"UG [3 Years
Program(s)]",85.56667742977075
Calicut University ,"UG [3 Years
Program(s)]",84.17721518987342
Motilal Nehru National Institute of Technology ,"UG [4 Years
Program(s)]",83.00918422474338
Bharathidasan University ,"UG [3 Years
Program(s)]",80.60344827586206
Jadavpur University ,"UG [3 Years
Program(s)]",78.26401446654612
"Andhra University, Visakhapatnam ","PG [3 Year
Program(s)]",76.66666666666667
Mumbai University ,PG-Integrated,75.28089887640449
Gauhati University ,"PG [2 Year
Program(s)]",73.41708542713567
Sri Venkateswara University ,"PG [2 Year
Program(s)]",71.56112270934818
Malaviya National Institute of Technology ,"PG [2 Year
Program(s)]",65.17457475380483
Kalasalingam Academy of Research and Higher Education ,"UG [3 Years
Program(s)]",64.93506493506493
National Institute of Technology Durgapur ,"UG [4 Years
Program(s)]",64.82856132909156
University of Madras ,"PG [3 Year
Program(s)]",64.28571428571429
Indian Institute of Technology Kanpur ,"PG [2 Year
Program(s)]",63.86995280545359
Indian Institute of Technology Madras ,"PG [3 Year
Program(s)]",63.55140186915888
National Institute of Technology Tiruchirappalli ,"PG [2 Year
Program(s)]",63.41463414634146
Savitribai Phule Pune University ,"PG [1 Year
Program(s)]",62.698412698412696
National Institute of Technology Karnataka ,"UG [4 Years
Program(s)]",62.22882615156018
Sathyabama Institute of Science and Technology ,"UG [3 Years
Program(s)]",55.73170731707317
Indian Institute of Technology Kharagpur ,"PG [6 Year
Program(s)]",54.54545454545455
Indian Institute of Technology (Indian School of Mines) ,"PG [3 Year
Program(s)]",54.31654676258993
Sri Ramachandra Institute of Higher Education and Research ,"PG [3 Year
Program(s)]",53.41506129597198
Bharathiar University ,"PG [3 Year
Program(s)]",50.0
Banaras Hindu University ,"UG [3 Years
Program(s)]",49.56804311643021
Indian Institute of Technology Patna ,"UG [4 Years
Program(s)]",49.09274193548387
Indian Institute of Technology Delhi ,"UG [5 Years
Program(s)]",48.09286898839137
Mahatma Gandhi University ,"PG [1 Year
Program(s)]",47.82608695652174
Indian Institute of Technology Roorkee ,PG-Integrated,47.576301615798926
Indian Institute of Technology Indore ,"UG [4 Years
Program(s)]",47.53320683111954
