Institute,2019-20,2018-19,2017-18
Alagappa University ,0.23076923076923078,1.2857142857142858,0.7142857142857143
Aligarh Muslim University ,1.775,0.5806451612903226,1.4
Amity University ,1.1428571428571428,1.1,1.0
Amrita Vishwa Vidyapeetham ,1.6705882352941177,37.61711711711712,80.41052631578947
"Andhra University, Visakhapatnam ",1.5950413223140496,1.588235294117647,1.282442748091603
Anna University ,2.091494845360825,1.9564564564564564,1.4538461538461538
Banaras Hindu University ,1.0,1.0,2.0
Banasthali Vidyapith ,1.25,1.0,1.0
Bharath Institute of Higher Education & Research ,2.710526315789474,3.0,3.0
Bharathiar University ,1.125,1.3333333333333333,1.0
Bharathidasan University ,1.1666666666666667,1.1428571428571428,1.0
Birla Institute of Technology & Science -Pilani ,1.3043478260869565,1.1,1.5294117647058822
Calcutta University ,1.3695652173913044,1.0,1.0
Calicut University ,1.0,1.0,1.0
Cochin University of Science and Technology ,3.6582278481012658,0.5326633165829145,1.008695652173913
Datta Meghe Institute of Medical Sciences ,4.541666666666667,2.608695652173913,1.391304347826087
Delhi Technological University ,2.5555555555555554,2.5555555555555554,5.125
Dr. D. Y. Patil Vidyapeeth ,1.2727272727272727,1.625,1.0
Gauhati University ,1.0,1.0,1.0
Guru Nanak Dev University ,1.0,1.0,1.0
Homi Bhabha National Institute ,1.0,1.0,1.3333333333333333
Indian Institute of Engineering Science and Technology ,1.45,1.3636363636363635,1.3424657534246576
Indian Institute of Science ,1.2393617021276595,1.234920634920635,1.6470588235294117
Indian Institute of Science Education & Research Bhopal ,1.75,inf,inf
Indian Institute of Science Education & Research Kolkata ,1.25,1.0,1.0
Indian Institute of Science Education & Research Pune ,1.0,1.0,1.0
"Indian Institute of Science Education & Research, Mohali ",,,
Indian Institute of Technology (Banaras Hindu University) Varanasi ,1.5297766749379653,1.496513249651325,2.3588390501319263
Indian Institute of Technology (Indian School of Mines) ,1.7555555555555555,3.0303030303030303,3.8152173913043477
Indian Institute of Technology Bhubaneswar ,1.326086956521739,1.2571428571428571,1.1875
Indian Institute of Technology Bombay ,1.4786821705426356,1.3802083333333333,1.3222003929273085
Indian Institute of Technology Delhi ,1.138036809815951,1.1759530791788857,1.2303030303030302
Indian Institute of Technology Gandhinagar ,1.0892857142857142,1.087719298245614,1.1428571428571428
Indian Institute of Technology Guwahati ,1.0851063829787233,1.05,1.065217391304348
Indian Institute of Technology Hyderabad ,1.619718309859155,1.7972972972972974,1.4042553191489362
Indian Institute of Technology Kanpur ,1.6424870466321244,1.984,2.0076335877862594
Indian Institute of Technology Kharagpur ,1.2934362934362935,1.106837606837607,1.25764192139738
Indian Institute of Technology Madras ,1.7693726937269372,2.0577367205542725,1.919315403422983
Indian Institute of Technology Mandi ,1.0769230769230769,1.0,1.0769230769230769
Indian Institute of Technology Patna ,1.4074074074074074,1.125,1.1666666666666667
Indian Institute of Technology Roorkee ,1.2507936507936508,1.25,1.2511792452830188
Institute of Chemical Technology ,1.2468354430379747,1.1101694915254237,1.4621212121212122
JSS Academy of Higher Education and Research ,1.305732484076433,1.4796747967479675,1.5046728971962617
Jadavpur University ,1.9714285714285715,2.4612546125461257,13.300578034682081
Jamia Hamdard ,1.5833333333333333,1.0,1.0
Jamia Millia Islamia ,1.0,1.3354430379746836,1.5495049504950495
Jawaharlal Nehru University ,1.0333333333333334,1.0,1.0
Kalinga Institute of Industrial Technology ,2.5789473684210527,2.5,1.837837837837838
Kerala University ,35.603896103896105,1.0551181102362204,1.0508474576271187
King George`s Medical University ,2.875,3.380952380952381,3.130434782608696
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,1.0,2.1866666666666665,1.6987951807228916
Madurai Kamaraj University ,0.11764705882352941,0.07692307692307693,0.11764705882352941
Mahatma Gandhi University ,1.0213675213675213,2.404166666666667,0.42779291553133514
Manipal Academy of Higher Education ,4.994140625,7.597058823529411,1.0932642487046633
Mysore University ,1.0,1.0,1.0
National Institute of Technology Durgapur ,1.625,1.316326530612245,1.2
National Institute of Technology Karnataka ,1.1245551601423487,1.1522633744855968,1.1454545454545455
National Institute of Technology Rourkela ,1.28125,1.2586206896551724,1.2156862745098038
National Institute of Technology Tiruchirappalli ,0.8333333333333334,1.3125,1.2
National Institute of Technology Warangal ,1.3372093023255813,1.4066666666666667,1.45
North Eastern Hill University ,1.0,1.0,
Osmania University ,2.6,2.8933333333333335,3.1153846153846154
PSG College of Technology ,0.2159468438538206,0.7153284671532847,2.0570342205323193
Panjab University ,0.009811181044057756,1.2727272727272727,1.4666666666666666
Pondicherry University ,1.1,1.75,1.0
S.R.M. Institute of Science and Technology ,1.4350282485875707,1.4782608695652173,1.6904761904761905
SVKM`s Narsee Monjee Institute of Management Studies ,2.347826086956522,1.394736842105263,1.8
Sathyabama Institute of Science and Technology ,1.7346938775510203,1.7954545454545454,1.7142857142857142
Saveetha Institute of Medical and Technical Sciences ,1.3,0.6825396825396826,0.7566137566137566
Savitribai Phule Pune University ,1.0,1.0,1.0
Shanmugha Arts Science Technology & Research Academy ,5.699346405228758,5.950704225352113,5.8545454545454545
Shiv Nadar University ,1.0,1.8,1.0
Siksha `O` Anusandhan ,1.7352941176470589,1.7826086956521738,1.9230769230769231
Sri Ramachandra Institute of Higher Education and Research ,1.0819672131147542,1.162162162162162,1.287958115183246
Sri Sivasubramaniya Nadar College of Engineering ,1.0,1.24,1.0
Sri Venkateswara University ,14.466666666666667,2.3296296296296295,22.6
Symbiosis International ,1.2307692307692308,1.1470588235294117,1.1071428571428572
Tata Institute of Social Sciences ,1.3880597014925373,14.0,1.1764705882352942
Tezpur University ,1.5476190476190477,1.4,1.0
Thapar Institute of Engineering and Technology ,1.152542372881356,1.0,1.4285714285714286
University of Delhi ,1.25,1.0,1.0
University of Hyderabad ,1.0,1.0714285714285714,1.0666666666666667
University of Kashmir ,2.4285714285714284,3.1666666666666665,3.6666666666666665
University of Madras ,1.3541666666666667,1.5,1.0
Vellore Institute of Technology ,1.0434782608695652,1.2181818181818183,0.3197278911564626
Visva Bharati ,1.6666666666666667,1.8666666666666667,1.8666666666666667
