Institute,Academic Year,Percentage of students going for higher studies
Alagappa University,2015-16,0.0
Alagappa University,2016-17,57.14285714285714
Alagappa University,2017-18,50.0
Alagappa University,2018-19,15.18987341772152
Aligarh Muslim University,2015-16,0.7215007215007215
Aligarh Muslim University,2016-17,55.83756345177665
Aligarh Muslim University,2017-18,59.60113960113959
Aligarh Muslim University,2018-19,85.99439775910365
Amity University,2015-16,30.4361770365619
Amity University,2016-17,31.220592305563244
Amity University,2017-18,59.86640690231005
Amity University,2018-19,43.993064156551895
Amity University,2019-20,66.52787416146195
Amity University Noida,2016-17,34.806102987921165
Amity University Noida,2017-18,45.22569444444444
Amity University Noida,2018-19,37.28015853356453
Amrita Vishwa Vidyapeetham,2015-16,45.0354609929078
Amrita Vishwa Vidyapeetham,2016-17,57.12098009188361
Amrita Vishwa Vidyapeetham,2017-18,41.56378600823045
Amrita Vishwa Vidyapeetham,2018-19,79.91329479768787
Amrita Vishwa Vidyapeetham,2019-20,52.448453608247426
Anand Agricultural University,2015-16,56.451612903225815
Anand Agricultural University,2016-17,43.895348837209305
Anand Agricultural University,2017-18,19.892473118279568
Andhra University,2015-16,40.0
Andhra University,2016-17,38.18181818181819
Andhra University,2017-18,33.89830508474576
Andhra University,2018-19,75.78947368421053
"Andhra University, Visakhapatnam",2017-18,33.89830508474576
"Andhra University, Visakhapatnam",2018-19,75.78947368421053
"Andhra University, Visakhapatnam",2019-20,56.33802816901409
Anna University,2015-16,7.673860911270983
Anna University,2016-17,7.295145132288723
Anna University,2017-18,6.873315363881402
Anna University,2018-19,4.18295543393276
Anna University,2019-20,6.946902654867257
Banaras Hindu University,2015-16,42.60194875496211
Banaras Hindu University,2016-17,49.472527472527474
Banaras Hindu University,2017-18,88.42539159109646
Banaras Hindu University,2018-19,86.53946227233304
Banaras Hindu University,2019-20,88.21855435401253
Banasthali Vidyapith,2015-16,49.065800162469536
Banasthali Vidyapith,2016-17,74.74560592044404
Banasthali Vidyapith,2017-18,78.81429816913688
Banasthali Vidyapith,2018-19,51.67682926829268
Banasthali Vidyapith,2019-20,61.50598170302604
Bharath Institute of Higher Education & Research,2015-16,0.0
Bharath Institute of Higher Education & Research,2016-17,0.0
Bharath Institute of Higher Education & Research,2017-18,0.0
Bharath Institute of Higher Education & Research,2018-19,0.0
Bharath Institute of Higher Education & Research,2019-20,34.724292101341284
Bharathiar University,2015-16,37.5
Bharathiar University,2016-17,31.818181818181817
Bharathiar University,2017-18,34.78260869565217
Bharathiar University,2018-19,43.75
Bharathiar University,2019-20,43.41085271317829
Bharathidasan University,2015-16,0.0
Bharathidasan University,2016-17,0.0
Bharathidasan University,2017-18,0.0
Bharathidasan University,2018-19,11.11111111111111
Bharathidasan University,2019-20,13.750000000000002
Bharati Vidyapeeth,2015-16,36.037441497659906
Bharati Vidyapeeth,2016-17,40.22824536376605
Bharati Vidyapeeth,2017-18,32.12996389891697
Bharati Vidyapeeth,2018-19,29.367382472431803
Birla Institute of Technology,2015-16,4.0
Birla Institute of Technology,2016-17,10.394537177541729
Birla Institute of Technology,2017-18,5.462822458270106
Birla Institute of Technology,2018-19,4.5662100456621
Birla Institute of Technology & Science,2015-16,2.680140597539543
Birla Institute of Technology & Science,2016-17,5.976470588235294
Birla Institute of Technology & Science,2017-18,6.13107822410148
Birla Institute of Technology & Science,2018-19,11.964679911699779
Birla Institute of Technology & Science -Pilani,2017-18,11.68091168091168
Birla Institute of Technology & Science -Pilani,2018-19,13.995584988962474
Birla Institute of Technology & Science -Pilani,2019-20,7.2633552014995315
Calcutta University,2015-16,66.71309192200557
Calcutta University,2016-17,45.96774193548387
Calcutta University,2017-18,41.51724137931034
Calcutta University,2018-19,49.23664122137404
