Institute,year,ratio
Alagappa University ,2018-19,4.461538461538462
Aligarh Muslim University ,2017-18,2.903225806451613
Amity University ,2017-18,3.6923076923076925
Amrita Vishwa Vidyapeetham ,2018-19,2.25
"Andhra University, Visakhapatnam ",2017-18,1.6744186046511629
Anna University ,2017-18,3.477272727272727
Banaras Hindu University ,2019-20,11.78125
Banasthali Vidyapith ,2017-18,2.6153846153846154
Bharath Institute of Higher Education & Research ,2019-20,3.6666666666666665
Bharathiar University ,2019-20,4.5
Bharathidasan University ,2018-19,4.0625
Birla Institute of Technology & Science -Pilani ,2017-18,5.051282051282051
Calcutta University ,2018-19,9.797101449275363
Calicut University ,2018-19,3.75
Chandigarh University ,2017-18,1.6071428571428572
Cochin University of Science and Technology ,2018-19,5.708333333333333
Datta Meghe Institute of Medical Sciences ,2017-18,3.111111111111111
Delhi Technological University ,2017-18,45.90909090909091
Dr. B. R. Ambedkar National Institute of Technology ,2019-20,3.7
Dr. D. Y. Patil Vidyapeeth ,2017-18,4.846153846153846
Gauhati University ,2017-18,4.25
Gujarat University ,2017-18,3.1538461538461537
Guru Gobind Singh Indraprastha University ,2017-18,2.4285714285714284
Guru Nanak Dev University ,2017-18,6.083333333333333
Homi Bhabha National Institute ,2018-19,5.497041420118343
Indian Institute of Engineering Science and Technology ,2017-18,3.1923076923076925
Indian Institute of Science ,2017-18,10.01834862385321
Indian Institute of Science Education & Research Bhopal ,2017-18,18.166666666666668
Indian Institute of Science Education & Research Kolkata ,2018-19,5.0476190476190474
Indian Institute of Science Education & Research Pune ,2018-19,7.730769230769231
"Indian Institute of Science Education & Research, Mohali ",2017-18,8.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,2019-20,6.741935483870968
Indian Institute of Technology (Indian School of Mines) ,2017-18,5.571428571428571
Indian Institute of Technology Bhubaneswar ,2019-20,4.354838709677419
Indian Institute of Technology Bombay ,2018-19,3.803030303030303
Indian Institute of Technology Delhi ,2017-18,5.915151515151515
Indian Institute of Technology Gandhinagar ,2017-18,6.0
Indian Institute of Technology Guwahati ,2018-19,22.470588235294116
Indian Institute of Technology Hyderabad ,2017-18,3.566666666666667
Indian Institute of Technology Indore ,2019-20,11.03448275862069
Indian Institute of Technology Kanpur ,2019-20,5.878378378378378
Indian Institute of Technology Kharagpur ,2018-19,3.4878048780487805
Indian Institute of Technology Madras ,2018-19,8.405797101449275
Indian Institute of Technology Mandi ,2019-20,5.34375
Indian Institute of Technology Patna ,2018-19,4.363636363636363
Indian Institute of Technology Roorkee ,2019-20,3.847826086956522
Indian Institute of Technology Ropar ,2018-19,7.833333333333333
Institute of Chemical Technology ,2018-19,2.2222222222222223
JSS Academy of Higher Education and Research ,2019-20,2.382978723404255
Jadavpur University ,2019-20,5.695652173913044
Jamia Hamdard ,2018-19,8.583333333333334
Jamia Millia Islamia ,2019-20,4.4222222222222225
Jawaharlal Nehru University ,2019-20,11.807692307692308
Kalasalingam Academy of Research and Higher Education ,2019-20,1.4420289855072463
Kalinga Institute of Industrial Technology ,2019-20,3.6296296296296298
Kerala University ,2019-20,4.2631578947368425
King George`s Medical University ,2019-20,4.310344827586207
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,2017-18,24.916666666666668
Lovely Professional University ,2017-18,3.4642857142857144
Madurai Kamaraj University ,2018-19,4.166666666666667
Mahatma Gandhi University ,2018-19,3.8846153846153846
Malaviya National Institute of Technology ,2018-19,4.066666666666666
Manipal Academy of Higher Education ,2018-19,3.411290322580645
Motilal Nehru National Institute of Technology ,2017-18,3.9473684210526314
Mumbai University ,2017-18,2.5714285714285716
Mysore University ,2018-19,11.857142857142858
National Institute of Technology Durgapur ,2019-20,5.875
National Institute of Technology Karnataka ,2019-20,5.0
National Institute of Technology Rourkela ,2018-19,6.285714285714286
National Institute of Technology Silchar ,2019-20,3.0
National Institute of Technology Tiruchirappalli ,2019-20,3.769230769230769
National Institute of Technology Warangal ,2019-20,27.0
North Eastern Hill University ,2018-19,1.631578947368421
Osmania University ,2017-18,4.277777777777778
PSG College of Technology ,2017-18,3.8
Panjab University ,2017-18,13.8
Pondicherry University ,2018-19,5.083333333333333
S.R.M. Institute of Science and Technology ,2017-18,5.777777777777778
SVKM`s Narsee Monjee Institute of Management Studies ,2018-19,1.9285714285714286
Sardar Vallabhbhai National Institute of Technology ,2017-18,4.0
Sathyabama Institute of Science and Technology ,2017-18,2.196078431372549
Saveetha Institute of Medical and Technical Sciences ,2018-19,2.8767123287671232
Savitribai Phule Pune University ,2019-20,8.823529411764707
Shanmugha Arts Science Technology & Research Academy ,2019-20,5.7
Shiv Nadar University ,2019-20,7.0
Siksha `O` Anusandhan ,2017-18,2.5
Sri Ramachandra Institute of Higher Education and Research ,2019-20,3.4166666666666665
Sri Sivasubramaniya Nadar College of Engineering ,2017-18,4.375
Sri Venkateswara University ,2018-19,2.2666666666666666
Symbiosis International ,2017-18,2.0
Tata Institute of Social Sciences ,2018-19,1.9962686567164178
Tezpur University ,2018-19,11.185185185185185
Thapar Institute of Engineering and Technology ,2017-18,3.933333333333333
University of Delhi ,2017-18,8.363636363636363
University of Hyderabad ,2019-20,7.4186046511627906
University of Kashmir ,2018-19,4.130434782608695
University of Madras ,2018-19,6.6521739130434785
Vellore Institute of Technology ,2017-18,6.3478260869565215
Visva Bharati ,2018-19,25.24
Visvesvaraya National Institute of Technology ,2018-19,3.604651162790698
