Institute,Average No. of Full Time phd students,Average No. of Part Time phd students
Institute of Chemical Technology,137,5
Jamia Millia Islamia,338,0
Kalasalingam Academy of Research and Higher Education,31,32
Indian Institute of Technology Guwahati,221,3
Gujarat University,221,0
Indian Institute of Science Education & Research Kolkata,39,92
Anna University,102,34
Indian Institute of Technology Roorkee,258,0
Jamia Hamdard,68,0
University of Delhi,579,50
Sardar Vallabhbhai National Institute of Technology,33,3
Indian Institute of Technology Patna,33,119
Amity University,49,18
Siksha `O` Anusandhan,83,8
Guru Gobind Singh Indraprastha University,25,68
Indian Institute of Technology Madras,330,333
Gauhati University,266,0
Bharathiar University,115,25
Calcutta University,488,39
Indian Institute of Science Education & Research Bhopal,35,11
Malaviya National Institute of Technology,54,119
University of Madras,117,72
Symbiosis International,27,14
Kerala University,405,0
Alagappa University,63,15
JSS Academy of Higher Education and Research,42,1
Indian Institute of Technology (Banaras Hindu University) Varanasi,84,3
Manipal Academy of Higher Education,196,32
Indian Institute of Technology Mandi,29,14
Indian Institute of Technology Kanpur,211,225
Chandigarh University,19,33
National Institute of Technology Silchar,39,31
"Andhra University, Visakhapatnam ",317,65
Delhi Technological University,37,0
Tezpur University,46,1
Visva Bharati,110,1
Savitribai Phule Pune University,345,0
University of Hyderabad,234,0
Indian Institute of Technology Gandhinagar,34,115
Indian Institute of Technology Ropar,24,0
King George`s Medical University,17,0
Vellore Institute of Technology,146,0
"Indian Institute of Science Education & Research, Mohali ",31,56
National Institute of Technology Rourkela,117,38
Indian Institute of Technology Kharagpur,364,22
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),27,106
Lovely Professional University,22,0
Motilal Nehru National Institute of Technology,52,83
Indian Institute of Technology Delhi,237,42
Mysore University,449,36
Madurai Kamaraj University,72,84
Guru Nanak Dev University,139,20
Pondicherry University,270,56
Cochin University of Science and Technology,73,0
National Institute of Technology Karnataka,105,1
Saveetha Institute of Medical and Technical Sciences,29,31
Jadavpur University,367,20
Indian Institute of Technology Indore,69,82
Mahatma Gandhi University,68,3
Indian Institute of Science,363,7
Sathyabama Institute of Science and Technology,29,0
Indian Institute of Technology Hyderabad,49,14
University of Kashmir,152,52
Indian Institute of Science Education & Research Pune,64,0
National Institute of Technology Warangal,73,0
Indian Institute of Technology (Indian School of Mines),97,13
Homi Bhabha National Institute,280,0
Indian Institute of Engineering Science and Technology,81,28
Dr. B. R. Ambedkar National Institute of Technology,24,19
Jawaharlal Nehru University,634,50
Sri Sivasubramaniya Nadar College of Engineering,24,0
Visvesvaraya National Institute of Technology,61,91
PSG College of Technology,11,0
Shiv Nadar University,20,0
S.R.M. Institute of Science and Technology,57,12
Banasthali Vidyapith,266,15
North Eastern Hill University,143,44
Tata Institute of Social Sciences,156,11
Birla Institute of Technology & Science -Pilani,91,0
Thapar Institute of Engineering and Technology,47,0
Datta Meghe Institute of Medical Sciences,17,84
Indian Institute of Technology Bhubaneswar,26,15
Kalinga Institute of Industrial Technology,70,21
Bharath Institute of Higher Education & Research,49,8
Aligarh Muslim University,353,185
Osmania University,196,266
Sri Venkateswara University,203,120
Bharathidasan University,90,42
Calicut University,99,57
Banaras Hindu University,856,160
Panjab University,344,0
National Institute of Technology Durgapur,42,45
Dr. D. Y. Patil Vidyapeeth,19,0
Sri Ramachandra Institute of Higher Education and Research,32,16
Mumbai University,172,0
SVKM`s Narsee Monjee Institute of Management Studies,18,0
Indian Institute of Technology Bombay,298,76
National Institute of Technology Tiruchirappalli,88,32
Shanmugha Arts Science Technology & Research Academy,39,23
Amrita Vishwa Vidyapeetham,90,23
