Institute,Academic Year,Percentage of unplaced
Alagappa University,2015-16,0.0
Alagappa University,2016-17,28.57142857142857
Alagappa University,2017-18,14.285714285714285
Alagappa University,2018-19,27.848101265822784
Aligarh Muslim University,2015-16,83.93458393458394
Aligarh Muslim University,2016-17,13.93631748961698
Aligarh Muslim University,2017-18,19.14529914529915
Aligarh Muslim University,2018-19,5.88235294117647
Amity University,2015-16,55.3880692751764
Amity University,2016-17,57.81898699141988
Amity University,2017-18,34.0523239632619
Amity University,2018-19,49.690364131781024
Amity University,2019-20,26.85634975711312
Amity University Noida,2016-17,57.628734901462174
Amity University Noida,2017-18,48.379629629629626
Amity University Noida,2018-19,56.403269754768395
Amrita Vishwa Vidyapeetham,2015-16,11.170212765957446
Amrita Vishwa Vidyapeetham,2016-17,25.57427258805513
Amrita Vishwa Vidyapeetham,2017-18,37.585733882030176
Amrita Vishwa Vidyapeetham,2018-19,7.08092485549133
Amrita Vishwa Vidyapeetham,2019-20,31.958762886597935
Anand Agricultural University,2015-16,19.35483870967742
Anand Agricultural University,2016-17,23.25581395348837
Anand Agricultural University,2017-18,40.32258064516129
Andhra University,2015-16,51.11111111111111
Andhra University,2016-17,10.909090909090908
Andhra University,2017-18,11.864406779661017
Andhra University,2018-19,0.0
"Andhra University, Visakhapatnam",2017-18,11.864406779661017
"Andhra University, Visakhapatnam",2018-19,0.0
"Andhra University, Visakhapatnam",2019-20,29.577464788732392
Anna University,2015-16,28.82494004796163
Anna University,2016-17,39.71230413562805
Anna University,2017-18,44.76639712488769
Anna University,2018-19,44.91790461297889
Anna University,2019-20,43.141592920353986
Banaras Hindu University,2015-16,57.07325875135331
Banaras Hindu University,2016-17,50.17582417582418
Banaras Hindu University,2017-18,7.535037098103875
Banaras Hindu University,2018-19,7.354726799653079
Banaras Hindu University,2019-20,0.7683551508252703
Banasthali Vidyapith,2015-16,48.17221770917953
Banasthali Vidyapith,2016-17,18.77890841813136
Banasthali Vidyapith,2017-18,12.467306015693111
Banasthali Vidyapith,2018-19,41.53963414634146
Banasthali Vidyapith,2019-20,31.31597466572836
Bharath Institute of Higher Education & Research,2015-16,0.0
Bharath Institute of Higher Education & Research,2016-17,0.0
Bharath Institute of Higher Education & Research,2017-18,0.0
Bharath Institute of Higher Education & Research,2018-19,0.0
Bharath Institute of Higher Education & Research,2019-20,0.0
Bharathiar University,2015-16,18.75
Bharathiar University,2016-17,27.27272727272727
Bharathiar University,2017-18,21.73913043478261
Bharathiar University,2018-19,16.40625
Bharathiar University,2019-20,8.527131782945736
Bharathidasan University,2015-16,0.0
Bharathidasan University,2016-17,0.0
Bharathidasan University,2017-18,0.0
Bharathidasan University,2018-19,59.25925925925925
Bharathidasan University,2019-20,58.75
Bharati Vidyapeeth,2015-16,59.2823712948518
Bharati Vidyapeeth,2016-17,54.63623395149786
Bharati Vidyapeeth,2017-18,60.2286401925391
Bharati Vidyapeeth,2018-19,59.315147997678466
Birla Institute of Technology,2015-16,25.62962962962963
Birla Institute of Technology,2016-17,16.160849772382395
Birla Institute of Technology,2017-18,14.112291350531109
Birla Institute of Technology,2018-19,28.15829528158295
Birla Institute of Technology & Science,2015-16,28.427065026362037
Birla Institute of Technology & Science,2016-17,22.023529411764706
