Institute,Financial Year,2019-20,2018-19,2017-18
Institute of Chemical Technology ,Total no. of Consultancy Projects,197,131,193
Institute of Chemical Technology ,Total no. of Client Organizations,158,118,132
Institute of Chemical Technology ,Total Amount Received (Amount in Rupees),57229546,44071235,77338594
Jamia Millia Islamia ,Total no. of Consultancy Projects,51,211,313
Jamia Millia Islamia ,Total no. of Client Organizations,51,158,202
Jamia Millia Islamia ,Total Amount Received (Amount in Rupees),74041294,29435033,29176871
Indian Institute of Technology Guwahati ,Total no. of Consultancy Projects,153,168,98
Indian Institute of Technology Guwahati ,Total no. of Client Organizations,141,160,92
Indian Institute of Technology Guwahati ,Total Amount Received (Amount in Rupees),112700000,75900000,89700000
Gujarat University ,Total no. of Consultancy Projects,21,44,21
Gujarat University ,Total no. of Client Organizations,17,29,19
Gujarat University ,Total Amount Received (Amount in Rupees),151570000,142759898,123861000
Indian Institute of Science Education & Research Kolkata ,Total no. of Consultancy Projects,5,5,7
Indian Institute of Science Education & Research Kolkata ,Total no. of Client Organizations,4,5,7
Indian Institute of Science Education & Research Kolkata ,Total Amount Received (Amount in Rupees),12310500,9614730,5772077
Anna University ,Total no. of Consultancy Projects,1623,1303,567
Anna University ,Total no. of Client Organizations,776,666,390
Anna University ,Total Amount Received (Amount in Rupees),286125372,304459307,216016896
Indian Institute of Technology Roorkee ,Total no. of Consultancy Projects,788,865,1061
Indian Institute of Technology Roorkee ,Total no. of Client Organizations,630,692,848
Indian Institute of Technology Roorkee ,Total Amount Received (Amount in Rupees),641262897,590811329,409557331
Jamia Hamdard ,Total no. of Consultancy Projects,19,9,9
Jamia Hamdard ,Total no. of Client Organizations,12,9,9
Jamia Hamdard ,Total Amount Received (Amount in Rupees),54712024,56479451,61214786
University of Delhi ,Total no. of Consultancy Projects,5,6,7
University of Delhi ,Total no. of Client Organizations,4,6,7
University of Delhi ,Total Amount Received (Amount in Rupees),4656144,3401650,3570952
Sardar Vallabhbhai National Institute of Technology ,Total no. of Consultancy Projects,337,443,394
Sardar Vallabhbhai National Institute of Technology ,Total no. of Client Organizations,236,262,237
