Institute,Financial Year,2019-20,2018-19,2017-18
Institute of Chemical Technology ,"Total no. of Executive Development Programs/ Management
Development Programs",3,0,0
Institute of Chemical Technology ,Total no. of Participants,62,0,0
Institute of Chemical Technology ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",19800000,0,0
Institute of Chemical Technology ,Total Annual Earnings in Words,one crore ninety eight lakhs,Zero,Zero
Jamia Millia Islamia ,"Total no. of Executive Development Programs/ Management
Development Programs",16,12,6
Jamia Millia Islamia ,Total no. of Participants,823,807,285
Jamia Millia Islamia ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",45912755,43329010,15702260
Jamia Millia Islamia ,Total Annual Earnings in Words,"Four Crore Fifty Nine Lac Twelve Thousand Seven Hundred
Fifty Five",Four Crore Thirty Three Lac Twenty Nine Thousand Ten,One Crore Fifty Seven Lac Two Thousand Two Hundred Sixty
Kalasalingam Academy of Research and Higher Education ,"Total no. of Executive Development Programs/ Management
Development Programs",3,4,3
Kalasalingam Academy of Research and Higher Education ,Total no. of Participants,989,868,423
Kalasalingam Academy of Research and Higher Education ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",28350200,16456850,15164250
Kalasalingam Academy of Research and Higher Education ,Total Annual Earnings in Words,"Two Crore Eighty Three Lakh Fifty Thousand Two Hundred
Only","One Crore Sixty Four Lakh Fifty Six Thousand Eight Hundred
Fifty Only","One Crore Fifty One Lakh Sixty Four Thousand Two Hundred
Fifty Only"
Sri Venkateswara University ,"Total no. of Executive Development Programs/ Management
Development Programs",8,7,7
Sri Venkateswara University ,Total no. of Participants,1400,1300,1256
Sri Venkateswara University ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",185000,180000,150000
Sri Venkateswara University ,Total Annual Earnings in Words,one lakh eighty five thousands only,one lakh eighty thousands only,one lakh fifty thousands only
Indian Institute of Technology Guwahati ,"Total no. of Executive Development Programs/ Management
Development Programs",2,0,0
Indian Institute of Technology Guwahati ,Total no. of Participants,28,0,0
Indian Institute of Technology Guwahati ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",350000,0,0
Indian Institute of Technology Guwahati ,Total Annual Earnings in Words,Three Lakh fifty thousand,Zero,Zero
Gujarat University ,"Total no. of Executive Development Programs/ Management
Development Programs",38,17,14
Gujarat University ,Total no. of Participants,1490,589,341
Gujarat University ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",13669520,11173951,6396000
Gujarat University ,Total Annual Earnings in Words,"One Crore Thirty Six Lakhs Sixty Nine Thousand Five Hundred
Twenty","One Crore Eleven Lakhs Seventy Three Thousand Nine
Hundred Fifty One",Sixty Three Lakhs Ninety Six Thousand
Osmania University ,"Total no. of Executive Development Programs/ Management
Development Programs",41,41,9
Osmania University ,Total no. of Participants,9125,9336,106
Osmania University ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",162065000,166308000,600000
Osmania University ,Total Annual Earnings in Words,"SIXTEEN CRORES TWENTY LAKHS SIXTY FIVE
THOUSANDS",SIXTEEN  CRORES SIXTY THREE LAKHS,SIX LAKHS
Indian Institute of Science Education & Research Kolkata ,"Total no. of Executive Development Programs/ Management
Development Programs",0,0,0
Indian Institute of Science Education & Research Kolkata ,Total no. of Participants,0,0,0
Indian Institute of Science Education & Research Kolkata ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",0,0,0
Indian Institute of Science Education & Research Kolkata ,Total Annual Earnings in Words,Zero,Zero,Zero
Anna University ,"Total no. of Executive Development Programs/ Management
Development Programs",1,1,0
Anna University ,Total no. of Participants,0,0,0
Anna University ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",0,0,0
Anna University ,Total Annual Earnings in Words,Zero,Zero,Zero
Indian Institute of Technology Roorkee ,"Total no. of Executive Development Programs/ Management
Development Programs",13,2,3
Indian Institute of Technology Roorkee ,Total no. of Participants,338,5,5
Indian Institute of Technology Roorkee ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",25463421,346444,372063
Indian Institute of Technology Roorkee ,Total Annual Earnings in Words,"Two Crore Fifty FourLakh Sixty threeThousand Four hundred
twenty one Only","Three Lakhs Fourty Six Thousand Four Hundred Forty Four
Only",Three Lakhs Seventy Two Thousand Sixty Three Only
Jamia Hamdard ,"Total no. of Executive Development Programs/ Management
Development Programs",8,8,8
Jamia Hamdard ,Total no. of Participants,110,270,140
Jamia Hamdard ,"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",1643000,15051570,2534000
Jamia Hamdard ,Total Annual Earnings in Words,Sixteen Lac Forty Three Thousand,One Crore Fifty Lac Fifty One Thousand Five Hundred Seventy,Twenty Five Lac Thirty Four Thousand
University of Delhi ,"Total no. of Executive Development Programs/ Management
Development Programs",2,2,2
University of Delhi ,Total no. of Participants,337,346,353
