Institute,Lifts/Ramps,Provisions for movement from one building to another,Special Toilets
Alagappa University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Aligarh Muslim University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Amity University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Amrita Vishwa Vidyapeetham ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
"Andhra University, Visakhapatnam ","Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Anna University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Banaras Hindu University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 40% of the buildings"
Banasthali Vidyapith ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Bharath Institute of Higher Education & Research ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Bharathiar University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 60% of the buildings"
Bharathidasan University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 40% of the buildings"
Birla Institute of Technology & Science -Pilani ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Calcutta University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Calicut University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 60% of the buildings"
Chandigarh University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Cochin University of Science and Technology ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Datta Meghe Institute of Medical Sciences ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Delhi Technological University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Dr. B. R. Ambedkar National Institute of Technology ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Dr. D. Y. Patil Vidyapeeth ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Gauhati University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Gujarat University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Guru Gobind Singh Indraprastha University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Guru Nanak Dev University ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Homi Bhabha National Institute ,"Yes, more than 80% of the buildings",Yes,"Yes, less than 40% of the buildings"
Indian Institute of Engineering Science and Technology ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Science ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Science Education & Research Bhopal ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Science Education & Research Kolkata ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Science Education & Research Pune ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
"Indian Institute of Science Education & Research, Mohali ","Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology (Indian School of Mines) ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Bhubaneswar ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Bombay ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 60% of the buildings"
Indian Institute of Technology Delhi ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Gandhinagar ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Guwahati ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Hyderabad ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Indore ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Kanpur ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
Indian Institute of Technology Kharagpur ,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
