Institute,Academic Year,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15
Institute of Chemical Technology ,UG [4 Years Program(s)],241,241,241,241,-,-
Institute of Chemical Technology ,PG [2 Year Program(s)],370,370,-,-,-,-
Institute of Chemical Technology ,PG-Integrated,120,120,0,0,0,-
Jamia Millia Islamia ,UG [3 Years Program(s)],1028,988,983,-,-,-
Jamia Millia Islamia ,UG [4 Years Program(s)],430,430,430,430,-,-
Jamia Millia Islamia ,UG [5 Years Program(s)],190,190,190,190,210,-
Jamia Millia Islamia ,PG [2 Year Program(s)],1354,1409,-,-,-,-
Jamia Millia Islamia ,PG [3 Year Program(s)],50,50,50,-,-,-
Kalasalingam Academy of Research and Higher Education ,UG [3 Years Program(s)],570,400,535,-,-,-
Kalasalingam Academy of Research and Higher Education ,UG [4 Years Program(s)],1290,1050,1260,1470,-,-
Kalasalingam Academy of Research and Higher Education ,UG [5 Years Program(s)],40,40,40,80,40,-
Kalasalingam Academy of Research and Higher Education ,PG [2 Year Program(s)],228,258,-,-,-,-
Sri Venkateswara University ,UG [3 Years Program(s)],0,180,180,-,-,-
Sri Venkateswara University ,UG [4 Years Program(s)],574,548,458,458,-,-
Sri Venkateswara University ,UG [5 Years Program(s)],40,40,40,40,40,-
Sri Venkateswara University ,PG [2 Year Program(s)],2428,2428,-,-,-,-
Sri Venkateswara University ,PG [3 Year Program(s)],120,120,120,-,-,-
Indian Institute of Technology Guwahati ,UG [4 Years Program(s)],851,747,690,660,-,-
Indian Institute of Technology Guwahati ,PG [2 Year Program(s)],849,693,-,-,-,-
Osmania University ,UG [3 Years Program(s)],60,60,60,-,-,-
Osmania University ,UG [4 Years Program(s)],420,420,420,420,-,-
Osmania University ,UG [5 Years Program(s)],60,60,60,60,60,-
Osmania University ,PG [2 Year Program(s)],2529,2529,-,-,-,-
Osmania University ,PG [3 Year Program(s)],60,60,60,-,-,-
Indian Institute of Science Education & Research Kolkata ,UG [5 Years Program(s)],206,200,222,202,200,-
Indian Institute of Science Education & Research Kolkata ,PG [2 Year Program(s)],3,0,-,-,-,-
Anna University ,UG [4 Years Program(s)],2470,2740,2740,2740,-,-
Anna University ,UG [5 Years Program(s)],80,120,120,120,120,-
Anna University ,PG [2 Year Program(s)],2048,2050,-,-,-,-
Anna University ,PG [3 Year Program(s)],120,120,120,-,-,-
Anna University ,PG-Integrated,100,100,100,100,100,-
Indian Institute of Technology Roorkee ,UG [4 Years Program(s)],959,879,815,845,-,-
Indian Institute of Technology Roorkee ,UG [5 Years Program(s)],32,30,30,35,40,-
Indian Institute of Technology Roorkee ,PG [2 Year Program(s)],827,787,-,-,-,-
Indian Institute of Technology Roorkee ,PG-Integrated,145,134,130,90,90,-
Jamia Hamdard ,UG [3 Years Program(s)],145,225,350,-,-,-
Jamia Hamdard ,UG [4 Years Program(s)],942,555,555,530,-,-
Jamia Hamdard ,UG [5 Years Program(s)],270,270,50,150,150,-
Jamia Hamdard ,PG [2 Year Program(s)],829,823,-,-,-,-
Jamia Hamdard ,PG [3 Year Program(s)],118,78,78,-,-,-
Jamia Hamdard ,PG-Integrated,60,0,0,0,0,-
University of Delhi ,UG [3 Years Program(s)],431,387,341,-,-,-
University of Delhi ,UG [4 Years Program(s)],44,40,40,40,-,-
University of Delhi ,PG [1 Year Program(s)],120,-,-,-,-,-
University of Delhi ,PG [2 Year Program(s)],8522,7728,-,-,-,-
University of Delhi ,PG [3 Year Program(s)],2773,2402,2402,-,-,-
University of Delhi ,PG-Integrated,120,120,120,0,0,-
Sardar Vallabhbhai National Institute of Technology ,UG [4 Years Program(s)],910,844,818,818,-,-
Sardar Vallabhbhai National Institute of Technology ,PG [2 Year Program(s)],466,425,-,-,-,-
Sardar Vallabhbhai National Institute of Technology ,PG-Integrated,202,180,180,180,180,-
Indian Institute of Technology Patna ,UG [4 Years Program(s)],361,250,225,200,-,-
Indian Institute of Technology Patna ,PG [2 Year Program(s)],232,230,-,-,-,-
Amity University ,UG [3 Years Program(s)],4560,4560,4680,-,-,-
Amity University ,UG [4 Years Program(s)],3100,3100,3100,3100,-,-
Amity University ,UG [5 Years Program(s)],1400,1400,1400,1280,1310,-
Amity University ,PG [1 Year Program(s)],375,-,-,-,-,-
Amity University ,PG [2 Year Program(s)],3000,3000,-,-,-,-
Amity University ,PG [3 Year Program(s)],10,45,45,-,-,-
Amity University ,PG-Integrated,125,210,210,210,210,-
Siksha `O` Anusandhan ,UG [3 Years Program(s)],120,120,0,-,-,-
Siksha `O` Anusandhan ,UG [4 Years Program(s)],2800,2440,1760,2240,-,-
Siksha `O` Anusandhan ,UG [5 Years Program(s)],430,430,370,250,250,-
Siksha `O` Anusandhan ,PG [1 Year Program(s)],24,-,-,-,-,-
Siksha `O` Anusandhan ,PG [2 Year Program(s)],734,704,-,-,-,-
Siksha `O` Anusandhan ,PG [3 Year Program(s)],191,193,99,-,-,-
Siksha `O` Anusandhan ,PG-Integrated,30,0,0,0,0,-
Guru Gobind Singh Indraprastha University ,UG [4 Years Program(s)],295,295,295,295,-,-
Guru Gobind Singh Indraprastha University ,UG [5 Years Program(s)],180,180,180,180,180,-
Guru Gobind Singh Indraprastha University ,PG [1 Year Program(s)],57,-,-,-,-,-
Guru Gobind Singh Indraprastha University ,PG [2 Year Program(s)],612,612,-,-,-,-
