Institute,Programs,No. of Male Students,No. of Female Students,Total Students,Within State(Including male& female),Outside State(Including male& female),Outside Country(Including male& female),EconomicallyBackward(Including male & female),SociallyChallenged (SC+ST+OBC Including male & female),No. of studentsreceiving full tuition fee reimbursement from the State and Central Government,No. of students receiving full tuition fee reimbursement from Institution Funds,No. of students receiving full tuition fee reimbursement from the Private Bodies,No. of students who are not receiving full tuition fee reimbursement
Institute of Chemical Technology ,"UG [4 Years
Program(s)]",676,296,972,832,139,1,39,266,156,0,40,109
Institute of Chemical Technology ,"PG [2 Year
Program(s)]",352,284,636,423,213,0,4,279,102,0,4,177
Institute of Chemical Technology ,PG-Integrated,184,61,245,146,99,0,3,73,3,3,2,68
Jamia Millia Islamia ,"UG [3 Years
Program(s)]",1904,1193,3097,1144,1889,64,2383,304,2019,378,253,37
Jamia Millia Islamia ,"UG [4 Years
Program(s)]",1523,371,1894,683,1179,32,1396,215,980,352,168,111
Jamia Millia Islamia ,"UG [5 Years
Program(s)]",470,450,920,349,562,9,671,91,484,112,84,82
Jamia Millia Islamia ,"PG [2 Year
Program(s)]",1280,1284,2564,847,1568,149,1871,242,946,492,498,177
Jamia Millia Islamia ,"PG [3 Year
Program(s)]",115,33,148,52,91,5,115,19,58,24,31,21
Kalasalingam Academy of Research and Higher Education ,"UG [3 Years
Program(s)]",759,627,1386,581,799,6,145,1171,3,501,396,416
Kalasalingam Academy of Research and Higher Education ,"UG [4 Years
Program(s)]",1838,2759,4597,1616,2971,10,702,3096,141,1538,900,1219
Kalasalingam Academy of Research and Higher Education ,"UG [5 Years
Program(s)]",91,89,180,86,94,0,26,128,30,38,4,82
Kalasalingam Academy of Research and Higher Education ,"PG [2 Year
Program(s)]",121,181,302,126,155,21,10,127,1,72,55,9
Sri Venkateswara University ,"UG [3 Years
Program(s)]",240,120,360,342,18,0,44,316,216,0,0,144
Sri Venkateswara University ,"UG [4 Years
Program(s)]",1061,752,1813,1791,13,9,550,1241,1129,0,25,637
Sri Venkateswara University ,"UG [5 Years
Program(s)]",84,43,127,112,15,0,26,101,0,0,0,127
Sri Venkateswara University ,"PG [2 Year
Program(s)]",2350,1961,4311,3880,431,0,980,3331,3085,0,0,1226
Sri Venkateswara University ,"PG [3 Year
Program(s)]",228,128,356,326,30,0,108,248,216,0,0,140
Indian Institute of Technology Guwahati ,"UG [4 Years
Program(s)]",2560,366,2926,97,2829,0,617,1487,0,915,0,1189
Indian Institute of Technology Guwahati ,"PG [2 Year
Program(s)]",1130,283,1413,159,1244,10,0,682,0,289,0,393
Osmania University ,"UG [3 Years
Program(s)]",126,57,183,181,2,0,22,125,145,0,2,0
Osmania University ,"UG [4 Years
Program(s)]",1049,708,1757,1742,5,10,200,1036,1231,0,5,0
Osmania University ,"UG [5 Years
Program(s)]",185,117,302,302,0,0,20,176,194,0,2,0
Osmania University ,"PG [2 Year
Program(s)]",2829,2287,5116,5078,18,20,1176,3248,4414,0,10,0
Osmania University ,"PG [3 Year
Program(s)]",59,58,117,117,0,0,13,74,87,0,0,0
Indian Institute of Science Education & Research Kolkata ,"UG [5 Years
Program(s)]",711,223,934,337,596,1,261,410,224,0,0,447
Indian Institute of Science Education & Research Kolkata ,"PG [2 Year
Program(s)]",1,2,3,1,2,0,2,0,0,0,0,2
Anna University ,"UG [4 Years
Program(s)]",6338,4220,10558,10268,116,174,1780,7177,3415,0,591,4951
Anna University ,"UG [5 Years
Program(s)]",176,373,549,543,6,0,40,480,98,0,0,422
Anna University ,"PG [2 Year
Program(s)]",1633,1666,3299,3174,100,25,353,2713,492,0,10,2564
Anna University ,"PG [3 Year
Program(s)]",195,96,291,255,35,1,39,217,40,0,0,216
Anna University ,PG-Integrated,220,232,452,449,3,0,23,417,97,0,0,343
Indian Institute of Technology Roorkee ,"UG [4 Years
Program(s)]",3041,414,3455,85,3370,0,40,1727,96,1411,50,210
Indian Institute of Technology Roorkee ,"UG [5 Years
Program(s)]",114,33,147,9,138,0,1,75,0,51,0,25
Indian Institute of Technology Roorkee ,"PG [2 Year
Program(s)]",1193,277,1470,99,1217,154,20,642,158,337,0,167
Indian Institute of Technology Roorkee ,PG-Integrated,482,75,557,25,532,0,4,281,65,193,7,20
Jamia Hamdard ,"UG [3 Years
Program(s)]",87,197,284,166,115,3,41,57,0,0,0,98
