Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2012-13,819,795,2013-14,125,2015-16,849,651,"350000(Three lakhs
fifty thousand)",135,"UG [4 Years
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2013-14,819,783,2014-15,125,2016-17,835,638,"350000(Three lakhs
fifty thousand)",156,"UG [4 Years
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2014-15,819,829,2015-16,101,2017-18,800,633,400000(Four lakhs),120,"UG [4 Years
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2012-13,819,795,2013-14,125,2015-16,849,651,"350000(Three lakhs
fifty thousand)",135,"PG [2 Year
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2013-14,819,783,2014-15,125,2016-17,835,638,"350000(Three lakhs
fifty thousand)",156,"PG [2 Year
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2014-15,819,829,2015-16,101,2017-18,800,633,400000(Four lakhs),120,"PG [2 Year
Program(s)]", Sri Sivasubramaniya Nadar College of Engineering 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [3 Years
Program(s)]", PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,"UG [3 Years
Program(s)]", PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,"UG [3 Years
Program(s)]", PSG College of Technology 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [4 Years
Program(s)]", PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,"UG [4 Years
Program(s)]", PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,"UG [4 Years
Program(s)]", PSG College of Technology 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [5 Years
Program(s)]", PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,"UG [5 Years
Program(s)]", PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,"UG [5 Years
Program(s)]", PSG College of Technology 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"PG [2 Year
Program(s)]", PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,"PG [2 Year
Program(s)]", PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,"PG [2 Year
Program(s)]", PSG College of Technology 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"PG [3 Year
Program(s)]", PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,"PG [3 Year
Program(s)]", PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,"PG [3 Year
Program(s)]", PSG College of Technology 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,PG-Integrated, PSG College of Technology 
2014-15,300,230,2015-16,0,2016-17,180,60,200000(Two Lakhs ),34,PG-Integrated, PSG College of Technology 
2015-16,120,111,2016-17,0,2017-18,98,46,"215000(Two Lakhs
Fifteen Thousand)",20,PG-Integrated, PSG College of Technology 
2012-13,756,732,2013-14,123,2015-16,734,639,"650000(Six Lakhs Fifty
Thousand)",84,"UG [4 Years
Program(s)]", College of Engineering 
2013-14,756,739,2014-15,137,2016-17,752,570,"650000(Six Lakhs Fifty
Thousand)",162,"UG [4 Years
Program(s)]", College of Engineering 
2014-15,756,702,2015-16,138,2017-18,728,584,"650000(Six Lakhs Fifty
Thousand)",60,"UG [4 Years
Program(s)]", College of Engineering 
2012-13,756,732,2013-14,123,2015-16,734,639,"650000(Six Lakhs Fifty
Thousand)",84,"PG [2 Year
Program(s)]", College of Engineering 
2013-14,756,739,2014-15,137,2016-17,752,570,"650000(Six Lakhs Fifty
Thousand)",162,"PG [2 Year
Program(s)]", College of Engineering 
2014-15,756,702,2015-16,138,2017-18,728,584,"650000(Six Lakhs Fifty
Thousand)",60,"PG [2 Year
Program(s)]", College of Engineering 
2012-13,651,652,2013-14,0,2015-16,543,405,1200000(Twelve Lakh),63,"UG [4 Years
Program(s)]", Indian Institute of Technology Delhi 
