Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students graduating in minimum
stipulated time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2016-17,1490,1121,2017-18,875,252,"301915(Three Lakhs
one thousand nine
hundred and fifteen
only)",138,"PG [2 Year
Program(s)]",University of Madras 
2017-18,1465,1298,2018-19,1061,246,"321805(Three Lakhs
twenty one thousand
eight hundred and five
only)",149,"PG [2 Year
Program(s)]",University of Madras 
2018-19,1665,1431,2019-20,1311,264,"318935(Three lakhs
eighteen thousand
nine hundred and thirty
five only)",163,"PG [2 Year
Program(s)]",University of Madras 
2016-17,1490,1121,2017-18,875,252,"301915(Three Lakhs
one thousand nine
hundred and fifteen
only)",138,"PG [3 Year
Program(s)]",University of Madras 
2017-18,1465,1298,2018-19,1061,246,"321805(Three Lakhs
twenty one thousand
eight hundred and five
only)",149,"PG [3 Year
Program(s)]",University of Madras 
2018-19,1665,1431,2019-20,1311,264,"318935(Three lakhs
eighteen thousand
nine hundred and thirty
five only)",163,"PG [3 Year
Program(s)]",University of Madras 
2016-17,1193,1061,2017-18,764,255,"540000(Five lakhs
forty thousand)",174,"PG [2 Year
Program(s)]",University of Hyderabad 
2017-18,1258,1209,2018-19,930,305,"660000(Six lakhs sixty
thousand)",213,"PG [2 Year
Program(s)]",University of Hyderabad 
2018-19,1281,1231,2019-20,1017,280,700000(Seven lakhs),269,"PG [2 Year
Program(s)]",University of Hyderabad 
2016-17,1193,1061,2017-18,764,255,"540000(Five lakhs
forty thousand)",174,"PG [3 Year
Program(s)]",University of Hyderabad 
2017-18,1258,1209,2018-19,930,305,"660000(Six lakhs sixty
thousand)",213,"PG [3 Year
Program(s)]",University of Hyderabad 
2018-19,1281,1231,2019-20,1017,280,700000(Seven lakhs),269,"PG [3 Year
Program(s)]",University of Hyderabad 
2016-17,1193,1061,2017-18,764,255,"540000(Five lakhs
forty thousand)",174,PG-Integrated,University of Hyderabad 
2017-18,1258,1209,2018-19,930,305,"660000(Six lakhs sixty
thousand)",213,PG-Integrated,University of Hyderabad 
2018-19,1281,1231,2019-20,1017,280,700000(Seven lakhs),269,PG-Integrated,University of Hyderabad 
2016-17,1770,1706,2017-18,1597,755,"240000(Two Lakhs
Fourty Thousand)",365,"PG [2 Year
Program(s)]",Gujarat University 
2017-18,1770,1706,2018-19,1610,686,"481000(Four LAkhs
Eighty One Thousand)",538,"PG [2 Year
Program(s)]",Gujarat University 
2018-19,1770,1706,2019-20,1703,936,"730000(Seven Lakhs
Thirty Thousand)",479,"PG [2 Year
Program(s)]",Gujarat University 
2017-18,257,243,2017-18,239,21,"252000(Tw Lakh Fifty
Two Thousand)",207,"PG [1 Year
Program(s)]",Kerala University 
